f,t,dt,uScroll,uScrollDelta,camZ
411,8049.6,16.700000000000728,2417.6414171067267,0.0000013568719049988143,-22.647019272955482
412,8066.3,16.699999999999818,2417.641418132469,0.0000012243256697020329,-22.647019297597378
413,8082.9,16.599999999999454,2449.5574411367043,0.3112450928168345,-22.699544838236307
414,8099.5,16.600000000000364,2479.1445704045705,0.5695466793674235,-22.815321559825964
415,8116.2,16.699999999999818,2506.3938035935926,0.7795636627996811,-22.994464038377913
416,8132.8,16.600000000000364,2530.9490160776963,0.9433065763878095,-23.22541097440652
417,8149.6,16.800000000000182,2553.4694988761803,1.0701219579396153,-23.50113414063579
418,8166.2,16.599999999999454,2596.4909936877816,1.3857256312767596,-23.876516590054198
419,8182.8,16.600000000000364,2631.646275674643,1.5939638063372406,-24.299891180164177
420,8232.8,48,2717.888732651598,1.952232654400283,-25.52037140397389
421,8249.5,16.700000000000728,2733.7962745167533,1.9166114103257064,-25.81887541328295
422,8266.2,16.700000000000728,2773.8747838829327,2.120113004581523,-26.00644896837097
423,8282.9,16.69999999999891,2807.5970296562377,2.2417681936385905,-26.06790088411594
424,8299.5,16.600000000000364,2836.58084549537,2.306675377479675,-26.015888381086306
425,8316.2,16.700000000000728,2862.2816867840456,2.331905384942652,-25.870004615248604
426,8332.9,16.69999999999891,2885.1094436216977,2.32666104634711,-25.65393508377867
427,8349.5,16.600000000000364,2928.3761619975385,2.522609009691132,-25.305850780255227
428,8366.2,16.700000000000728,2963.879541536212,2.622310619457402,-24.896204569864533
429,8382.8,16.599999999998545,2993.7567194102608,2.658967911507294,-24.48516439393334
430,8399.5,16.700000000000728,3018.201837080082,2.6375420991713776,-24.106563814133693
431,8416.2,16.700000000000728,3033.3557168959424,2.5276288352361274,-23.7824010352703
432,8432.8,16.599999999998545,3063.843771270908,2.579439777006543,-23.50963090409464
433,8449.5,16.700000000000728,3078.026157778988,2.465731142395185,-23.27732550435026
434,8466.2,16.700000000000728,3081.2151444238416,2.2559553112292243,-23.08076778213687
