f,t,dt,uScroll,uScrollDelta,camZ
235,4523.3,16.600000000000364,404.99999316463885,8.388860412451906e-7,3.549515966068065
236,4540.1,16.800000000000182,404.9999938545507,7.564735650574869e-7,3.549515856388433
237,4556.7,16.599999999999454,468.8320391831712,0.6224886511865508,3.4453795978997475
238,4573.4,16.699999999999818,528.4090860449544,1.1424983934916118,3.285916335321066
239,4590.1,16.700000000000728,582.8460994026137,1.5616006324887275,3.1154596922895186
240,4606.7,16.599999999999454,631.9120571528975,1.8884125855698333,2.95978631936138
241,4623.4,16.699999999999818,720.8873335362218,2.5713641964973326,2.725944716813521
242,4640.1,16.700000000000728,792.7348457926992,3,2.375279921673517
243,4656.7,16.599999999999454,852.8918011698913,3,1.9195917538867766
244,4673.4,16.699999999999818,947.4511806901837,3,1.254330739911964
245,4690,16.600000000000364,1021.6216020650613,3,0.47861076243541034
246,4706.7,16.699999999999818,1083.654733967751,3,-0.34519736679582746
247,4723.3,16.600000000000364,1136.4977264963006,3,-1.1525250683556256
248,4740,16.699999999999818,1227.374666955592,3,-1.9422226296351812
249,4756.8,16.800000000000182,1300.6292643483825,3,-2.671114654706779
250,4773.3,16.5,1360.7770739337159,3,-3.40080099105361
251,4790.1,16.800000000000182,1413.875563982809,3,-4.188754904357095
252,4806.7,16.599999999999454,1503.8919415458054,3,-5.17453804401795
253,4823.4,16.699999999999818,1576.6522940657426,3,-6.3120950414263985
254,4840,16.600000000000364,1637.278592949062,3,-7.509291854362653
255,4856.7,16.699999999999818,1690.0329117632193,3,-8.713651942273746
256,4873.4,16.699999999999818,1780.6450441214083,3,-9.946990381453357
257,4890.1,16.700000000000728,1853.3098505692833,3,-11.034495627009585
258,4906.7,16.599999999999454,1913.8731909399007,3,-11.990103030370204
259,4923.4,16.699999999999818,1966.5817627204776,3,-12.874328054369531
260,4940,16.600000000000364,2012.5843000193358,3,-13.69909816025462
261,4956.7,16.699999999999818,2053.744522073115,3,-14.484953222041431
262,4973.4,16.699999999999818,2090.491659228131,3,-15.229685107070829
