f,t,dt,uScroll,uScrollDelta,camZ
427,7723.3,16.699999999999818,2417.6412588748735,0.0000012250114229933546,-22.64701798433719
428,7739.9,16.599999999999454,2417.6412597924036,0.000001106026570117272,-22.647018006394752
429,7756.6,16.700000000000728,2449.777017316462,0.31329304265649344,-22.700293096272244
430,7773.3,16.699999999999818,2479.5333888503983,0.5727843351875443,-22.81765802114532
431,7789.9,16.599999999999454,2506.5452442942933,0.7805687392132803,-22.995937628627164
432,7806.6,16.700000000000728,2531.2532416027034,0.9451974494550777,-23.22896525922114
433,7823.2,16.599999999999454,2553.435922549483,1.0697155737566417,-23.50102073929081
434,7839.9,16.699999999999818,2596.7402311186834,1.387394685765604,-23.879305513806177
435,7856.5,16.600000000000364,2631.8487542483867,1.5950147554449075,-24.302801612724906
436,7906.5,48,2718.0153828852685,1.9523412568958265,-25.522175075211514
437,7923.3,16.800000000000182,2734.0289243019265,1.9166115997835547,-25.821859635934082
438,7940,16.699999999999818,2774.0943569262417,2.119985690154129,-26.00845005940024
439,7956.5,16.5,2807.374757000641,2.2398984178903327,-26.069650418215332
440,7973.3,16.800000000000182,2836.8155786190664,2.3067822322410585,-26.015887984475683
441,7989.9,16.599999999999454,2862.3327219858343,2.331567755556064,-25.870602177748413
442,8006.5,16.600000000000364,2885.0300445142007,2.326447072867282,-25.655950021875512
443,8023.2,16.699999999999818,2928.5934651819525,2.523888268369176,-25.304851883835667
444,8039.9,16.699999999999818,2964.055752723167,2.623064306980297,-24.894879078241143
445,8056.6,16.700000000000728,2994.0994099178733,2.6597260003314505,-24.48119190834904
446,8073.2,16.599999999999454,3018.322217762608,2.6376079247609137,-24.105210047180556
447,8089.9,16.699999999999818,3033.4677631204477,2.5276069778706267,-23.7812555890215
448,8106.5,16.600000000000364,3063.940334300879,2.5792690510433514,-23.508660751462322
449,8123.2,16.699999999999818,3078.1059879645595,2.4654139650396893,-23.276504640987568
450,8140,16.800000000000182,3081.2689578816253,2.254037303393853,-23.078993076628
451,8156.6,16.600000000000364,3078.35791706011,2.0067152197430156,-22.913869135816977
452,8173.3,16.699999999999818,3072.6443149419965,1.7549869390283048,-22.77324089726265
