f,t,dt,uScroll,uScrollDelta,camZ
430,7766.6,16.600000000000364,2462.0121486177045,0.0000012257697144668158,-23.19890782408903
431,7783.3,16.699999999999818,2462.0121495424046,0.000001106030216291025,-23.19890786679726
432,7800,16.699999999999818,2494.1479070662117,0.3132930426573332,-23.28446153336581
433,7816.7,16.699999999999818,2523.904278600023,0.57278433518709,-23.450357016456998
434,7833.3,16.600000000000364,2550.916134043858,0.7805687392122819,-23.680980339432022
435,7849.9,16.599999999999454,2575.4586208740543,0.9440899299934338,-23.96023558809945
436,7866.7,16.800000000000182,2597.966283261212,1.0707034059880933,-24.27476995001196
437,7883.4,16.699999999999818,2641.24751125633,1.3880610085497036,-24.664730429082407
438,7933.3,48,2740.362431375267,1.913334195753924,-25.715862944787126
439,7950,16.699999999999818,2758.2857498185876,1.9011645934588817,-25.952145728185084
440,7966.6,16.600000000000364,2799.11382347431,2.1146592696596715,-26.04877031629039
441,7983.3,16.699999999999818,2833.3893924868544,2.2422415652654477,-26.011563416612784
442,8000,16.699999999999818,2862.8483139283335,2.3104033864204934,-25.864054777329567
443,8016.7,16.699999999999818,2888.665419121634,2.3364026815480394,-25.634538742600668
444,8033.3,16.600000000000364,2911.3995842282857,2.331171672086794,-25.352149101597202
445,8049.9,16.599999999999454,2954.7142492519056,2.527149094321556,-24.963746005311553
446,8066.6,16.700000000000728,2990.2417690018833,2.626642548569693,-24.546211971757256
447,8083.3,16.699999999999818,3018.1357986537496,2.641997945512606,-24.15825791922089
448,8100,16.699999999999818,3035.1134351799765,2.5494292466346637,-23.826140335170273
449,8116.7,16.699999999999818,3043.562524082825,2.382758179668764,-23.545129752119536
450,8133.3,16.600000000000364,3070.3319147463653,2.4123760643301737,-23.308670483509882
451,8149.9,16.599999999999454,3082.3028909108666,2.294803533535997,-23.108397810643872
452,8166.7,16.800000000000182,3084.19328720543,2.087785114229928,-22.936897152923095
453,8183.3,16.600000000000364,3080.478640947428,1.8487743036517765,-22.79351889278749
454,8199.9,16.599999999999454,3074.268462513807,1.608642168058635,-22.672082555962653
455,8216.6,16.700000000000728,3092.0523825754735,1.624877454946338,-22.56866098026448
456,8233.3,16.69999999999891,3098.052736415441,1.524648608623599,-22.481154149302654
457,8250,16.700000000000728,3095.834600786979,1.354088439070333,-22.40711306635367
458,8266.6,16.600000000000364,3089.2524678024834,1.158377648589519,-22.34481042945255
459,8283.3,16.69999999999891,3080.895714655889,0.9637512264250815,-22.291750224847082
460,8299.9,16.600000000000364,3097.059815830238,1.027774241675858,-22.24710216555665
461,8316.6,16.700000000000728,3101.954495386654,0.9750942748594005,-22.209077528414127
462,8333.3,16.69999999999891,3098.887685223916,0.8499436603059164,-22.176904207979266
463,8350,16.700000000000728,3091.586140541191,0.6957339036855589,-22.14968179047336
464,8366.6,16.600000000000364,3082.778362508852,0.5422644009794066,-22.12677520502255
465,8383.3,16.69999999999891,3098.603636310635,0.643574084207047,-22.10726675126703
466,8399.9,16.600000000000364,3103.1240068649586,0.6251465018268929,-22.090851160591914
467,8416.6,16.700000000000728,3099.7971469391637,0.5316453583568026,-22.076870779611834
468,8433.3,16.69999999999891,3092.2940178314284,0.4065633690674024,-22.065041731108685
469,8449.9,16.600000000000364,3083.330602766363,0.2796631136632233,-22.055088055602813
470,8466.6,16.700000000000728,3046.681939303369,-0.10494426063435908,-22.046610981674846
471,8483.3,16.69999999999891,3014.6722407407574,-0.40675585853479324,-22.04572479671488
472,8500,16.700000000000728,2986.352486541076,-0.6431116151597476,-22.0846105844642
473,8516.6,16.600000000000364,2961.2788829351803,-0.8251633925592297,-22.17733842072107
474,8533.3,16.69999999999891,2938.6596693765455,-0.9650722792358,-22.32652909490302
475,8550,16.700000000000728,2895.2299731167823,-1.2941958938655094,-22.615032004612683
476,8566.7,16.700000000000728,2859.834455153084,-1.5128436785430412,-23.002356220817965
