f,t,dt,uScroll,uScrollDelta,camZ
237,4585.6,16.700000000000728,404.9999938542586,7.564791592005669e-7,3.549515763912075
238,4602.2,16.599999999999454,404.9999944659833,6.830026513314723e-7,3.5495156824964798
239,4618.9,16.699999999999818,469.2715088981703,0.6265846996233136,3.444177845243656
240,4635.5,16.600000000000364,528.3818283119114,1.14216664209787,3.2857884038119347
241,4652.3,16.800000000000182,583.1985599600708,1.5642073932291247,3.114297195682318
242,4668.9,16.599999999999454,632.2144244682386,1.8902776450982186,2.958647981165918
243,4685.6,16.700000000000728,721.1644798714674,2.5728011876439494,2.724489372356295
244,4702.2,16.599999999999454,792.5457646435989,3,2.3764205553776896
245,4718.9,16.699999999999818,853.1746201252921,3,1.9172541861562742
246,4735.6,16.700000000000728,905.6631516493866,3,1.3724492930538583
247,4752.3,16.699999999999818,996.1425744646137,3,0.6444875900632777
248,4768.9,16.599999999999454,1068.2843099682127,3,-0.16314042590489286
249,4785.5,16.600000000000364,1128.9028344907094,3,-0.982624307207882
250,4802.2,16.699999999999818,1181.6532390643163,3,-1.7667015324867559
251,4818.9,16.699999999999818,1272.263417013495,3,-2.486334170780678
252,4835.5,16.600000000000364,1344.4701681807485,3,-3.2088020926675074
253,4852.2,16.699999999999818,1405.5146300525512,3,-3.9935381220921755
254,4868.9,16.699999999999818,1500.2660916314603,3,-4.99868684905529
255,4885.5,16.600000000000364,1574.5320223920032,3,-6.147126792227649
256,4902.3,16.800000000000182,1637.0108927732797,3,-7.381341407287536
257,4918.8,16.5,1689.4588010930868,3,-8.589765597235173
258,4935.6,16.800000000000182,1780.9083604327545,3,-9.849381491137045
259,4952.2,16.599999999999454,1853.1399581094033,3,-10.945792761634266
260,4968.9,16.699999999999818,1914.1813266980876,3,-11.920619261914512
261,4985.5,16.600000000000364,1966.517280560628,3,-12.810415540770213
262,5002.2,16.699999999999818,2012.857699351654,3,-13.649960867850913
263,5018.9,16.699999999999818,2053.9832685054876,3,-14.44370891962691
264,5035.6,16.700000000000728,2090.70286822845,3,-15.195065651490241
265,5052.3,16.699999999999818,2123.600935756828,3,-15.904172776055193
266,5068.9,16.599999999999454,2152.934906440651,2.994675140396205,-16.565839976858957
267,5085.6,16.700000000000728,2179.503079008887,2.9611534152997194,-17.187248920932333
268,5102.2,16.599999999999454,2203.226398607232,2.9048868269274415,-17.759732343193875
