f,t,dt,uScroll,uScrollDelta,camZ
429,7785.4,16.599999999999454,2417.641418669803,0.0000012251605311466888,-22.64701930194025
430,7802.1,16.700000000000728,2417.641419593823,0.0000011054805411347732,-22.647019324128017
431,7818.8,16.699999999999818,2449.77717711729,0.31329304215804343,-22.700294555302435
432,7835.4,16.599999999999454,2479.332336976995,0.5710839476384425,-22.81646796665459
433,7852.1,16.700000000000728,2506.5576677425506,0.7807177376579392,-22.995952423101873
434,7868.8,16.699999999999818,2531.2595247323284,0.9452720308939548,-23.228998867243284
435,7885.4,16.599999999999454,2553.4391525149326,1.069753136776422,-23.50106034084676
436,7902.1,16.700000000000728,2596.74192387493,1.3874135931575915,-23.87934458913757
437,7918.8,16.699999999999818,2632.074067305426,1.5963375535178124,-24.30578873961542
438,7968.8,48,2718.1453472651183,1.9524787880763772,-25.524024520780028
439,7985.4,16.599999999999454,2733.910372350543,1.9165753275277584,-25.82023850824076
440,8002.1,16.700000000000728,2773.9835151190755,2.120028127485695,-26.007343070483135
441,8018.8,16.699999999999818,2807.703081310824,2.2416654844885664,-26.068304911534298
442,8035.5,16.699999999999818,2836.8765849562765,2.3071010372504612,-26.014809835284
443,8052.1,16.600000000000364,2862.3747002821365,2.3316700343490946,-25.869520308304967
444,8068.8,16.699999999999818,2885.2076472944145,2.326499285111911,-25.653127993585024
445,8085.4,16.599999999999454,2928.476946392229,2.522488127372076,-25.304808635069758
446,8102.1,16.700000000000728,2963.981625274584,2.622214212869362,-24.89504442448117
447,8118.8,16.699999999999818,2994.054250287183,2.6592413555386223,-24.48140743531966
448,8135.4,16.599999999999454,3018.2986676909154,2.637381089011977,-24.105406853858657
449,8152.1,16.700000000000728,3033.45801055494,2.527536812727395,-23.781422110645202
450,8168.7,16.599999999999454,3063.9370043288004,2.5792683339274944,-23.508801789413035
451,8185.5,16.800000000000182,3078.15149245086,2.4644154311822564,-23.27534725100655
452,8202.1,16.600000000000364,3081.29186047307,2.2556725433582425,-23.080174206294505
453,8218.7,16.600000000000364,3078.3958839635466,2.008338536191975,-22.914869511047364
454,8235.4,16.69999999999891,3072.687016607023,1.7564978408377625,-22.774087332502045
455,8252.1,16.700000000000728,3090.8607924621742,1.762090534918673,-22.65496903230946
456,8268.7,16.600000000000364,3097.1392681917914,1.6521668950632504,-22.55473570360071
457,8285.5,16.799999999999272,3095.124333434006,1.4702197134679642,-22.468902316783165
458,8302.1,16.600000000000364,3088.7051836488495,1.2648185470357305,-22.39714374846628
459,8318.7,16.600000000000364,3080.5340566314167,1.0622826876572753,-22.336366768302373
460,8335.4,16.69999999999891,3096.856879675661,1.1176449226491736,-22.28460589327043
461,8352.1,16.700000000000728,3101.7583187867776,1.0562518239126995,-22.240810098135032
462,8368.8,16.69999999999891,3098.703515057625,0.9232903729471736,-22.203753698482636
463,8385.4,16.600000000000364,3091.482970195762,0.7631970492133171,-22.1725722067965
464,8402.1,16.700000000000728,3082.629499798137,0.6023313981986469,-22.146016407378312
465,8418.8,16.69999999999891,3098.482070566907,0.6980395463987239,-22.12354707411728
466,8435.4,16.600000000000364,3103.0263266277316,0.6745546868610989,-22.104640020684027
467,8452.1,16.700000000000728,3099.7196209002686,0.5764235810557565,-22.08853777889212
468,8468.8,16.69999999999891,3092.232891861297,0.44712730892260444,-22.07491338629243
469,8485.4,16.600000000000364,3083.282525291876,0.31641434330919727,-22.0634489998825
470,8502.1,16.700000000000728,3046.6404314944716,-0.07171903258046086,-22.05368532503913
471,8518.8,16.69999999999891,3014.6340132140645,-0.3767442623336227,-22.051740432045843
472,8535.4,16.600000000000364,2986.5033620636814,-0.6144804158166501,-22.08919594101437
473,8552.1,16.700000000000728,2961.2320727211027,-0.8008250323957955,-22.181862740121385
474,8568.8,16.69999999999891,2938.618794320063,-0.9430535534788005,-22.33049519030556
475,8585.4,16.600000000000364,2895.458721530316,-1.2723507361900057,-22.6158950363235
476,8602,16.600000000000364,2860.2339581779465,-1.4922785478701353,-22.999353582408084
477,8618.7,16.700000000000728,2830.146285090606,-1.6398303291728298,-23.443601521666597
478,8635.4,16.69999999999891,2804.008215270776,-1.7344637434313384,-23.911208323599514
479,8652.1,16.700000000000728,2780.9558264661323,-1.7897705219352928,-24.3746480602213
480,8668.7,16.600000000000364,2737.5774138418938,-2.0389556784382,-24.843612657582455
481,8685.4,16.69999999999891,2702.017798405983,-2.186451281033478,-25.24700722428951
482,8702,16.600000000000364,2672.1126582327092,-2.2657160977676254,-25.55137490267983
483,8718.8,16.799999999999272,2645.769257964031,-2.2998758927542338,-25.75848729402748
484,8735.4,16.600000000000364,2622.881530464637,-2.2996902504927412,-25.87297910986434
485,8752.1,16.700000000000728,2579.222244570707,-2.5006797819109385,-25.83667194135814
486,8768.7,16.600000000000364,2543.937215282887,-2.6018882127756466,-25.690138456481748
487,8785.4,16.69999999999891,2513.827005904584,-2.641267314427026,-25.467981743270546
488,8802.1,16.700000000000728,2487.6847078684973,-2.6381164277194347,-25.201814206595348
489,8818.7,16.600000000000364,2464.7888464073776,-2.605156944308348,-24.91753965186503
490,8835.4,16.69999999999891,2421.1254652207917,-2.7763468410603345,-24.592732911573762
491,8852.1,16.700000000000728,2385.613266659504,-2.851348009560744,-24.29013743529237
492,8868.7,16.600000000000364,2355.7394286476588,-2.8657264244106195,-24.026694935512186
493,8885.4,16.69999999999891,2329.5904783814353,-2.8407140686250703,-23.783940703798194
494,8902,16.600000000000364,2306.6913092172504,-2.7881086167525013,-23.556255814094932
495,8918.7,16.700000000000728,2263.0262626660387,-2.9414430876438797,-23.302963341225684
496,8935.4,16.69999999999891,2227.5132325759887,-3,-23.026463276623566
497,8952.1,16.700000000000728,2197.4442392545498,-3,-22.73212530220031
498,8968.7,16.600000000000364,2171.500857621994,-2.961610229525461,-22.428260816503215
499,8985.4,16.69999999999891,2148.4437276224294,-2.897089241700624,-22.116774061296166
500,9002.1,16.700000000000728,2104.7953764724466,-3,-21.75170251148953
501,9018.7,16.600000000000364,2069.5157842914773,-3,-21.362159127085356
502,9035.4,16.69999999999891,2039.4083123914827,-3,-20.961667606798997
503,9052.1,16.700000000000728,2013.2673811983893,-2.9617929317891947,-20.566138696711192
504,9068.7,16.600000000000364,1990.372199375626,-2.897388255593196,-20.187293561328175
505,9085.4,16.69999999999891,1946.7091603738286,-3,-19.788663041795992
506,9102,16.600000000000364,1911.422264919902,-3,-19.406164189250205
507,9118.7,16.700000000000728,1881.3111159629968,-3,-19.052430585010818
508,9135.4,16.69999999999891,1855.1683487884293,-2.9618108308037314,-18.739557509742173
509,9152,16.600000000000364,1832.272254056546,-2.897413318743017,-18.473119248934445
510,9168.7,16.700000000000728,1811.7450960662213,-2.81449867577371,-18.23881296744009
511,9185.4,16.69999999999891,1793.3979673281792,-2.7184304200002303,-18.025525501681663
512,9202.1,16.700000000000728,1776.9506555760127,-2.6132252581933453,-17.825258304112563
513,9218.7,16.600000000000364,1762.2804237056373,-2.502467379506789,-17.634484727664354
514,9235.4,16.69999999999891,1748.9909722050975,-2.3875725665554244,-17.44813740482966
515,9252,16.600000000000364,1737.1233207048547,-2.2714015705765744,-17.267418605129624
516,9268.7,16.700000000000728,1726.3655284790518,-2.154397266613047,-17.08961036150711
517,9285.4,16.69999999999891,1716.6905978890632,-2.038265709171606,-16.916046592330545
518,9302.1,16.700000000000728,1707.9875127244663,-1.9240039427941402,-16.747140636314178
519,9318.7,16.600000000000364,1700.209891029243,-1.8129733418431522,-16.584451984478836
520,9335.4,16.69999999999891,1693.1567673660554,-1.7046337914792105,-16.42638838800883
521,9352.1,16.700000000000728,1686.8121687182777,-1.5999699839397767,-16.274494129766158
522,9368.7,16.600000000000364,1681.1422578582462,-1.4998583419250302,-16.130075578107537
523,9385.4,16.69999999999891,1676.0005182998968,-1.403471361203908,-15.991563787451703
524,9402,16.600000000000364,1671.406161068315,-1.3119567861854344,-15.860920478949357
525,9418.7,16.700000000000728,1667.2400908850746,-1.2244131798124727,-15.73656972111516
526,9435.4,16.69999999999891,1663.4926828249265,-1.141339739609297,-15.61938368397597
527,9452.1,16.700000000000728,1660.1213578601808,-1.0627149003864533,-15.50930238966025
528,9468.7,16.600000000000364,1657.1083609464,-0.9888764866209399,-15.406832105578669
529,9485.4,16.69999999999891,1654.3759436128385,-0.9189163217816976,-15.310487335526382
530,9502.1,16.700000000000728,1651.917969670399,-0.8531146728539263,-15.220717373728041
531,9518.7,16.600000000000364,1649.7213566682492,-0.7916732939383637,-15.137776185047551
532,9535.4,16.69999999999891,1647.7293548248688,-0.7337586293561996,-15.060333681981943
533,9552.1,16.700000000000728,1645.937457065438,-0.6795505493538747,-14.988638216246278
534,9568.7,16.600000000000364,1644.3361089053703,-0.6291623791679175,-14.922786458605934
535,9585.3,16.599999999998545,1642.8936193142713,-0.5821192076685215,-14.862007094708726
536,9602.1,16.80000000000109,1641.5770440304832,-0.5377630335652491,-14.80531617651222
537,9618.7,16.600000000000364,1640.4099527534752,-0.4969117675679573,-14.753825017199944
538,9635.4,16.69999999999891,1639.351461739442,-0.45869011394951803,-14.706221361848394
539,9652,16.600000000000364,1638.4055977016415,-0.4233617673041531,-14.662815074817972
540,9668.7,16.700000000000728,1637.5478777375486,-0.39036753611101604,-14.62278286876181
541,9685.4,16.69999999999891,1636.7763380951953,-0.3597561779174146,-14.586142885844417
542,9702,16.600000000000364,1636.0868530874486,-0.3315370438473632,-14.552842748704252
543,9718.7,16.700000000000728,1635.461600345132,-0.30524639763581213,-14.522225354276276
544,9735.4,16.69999999999891,1634.8991604842163,-0.2809115932925313,-14.494282597391212
545,9752,16.600000000000364,1634.396532148045,-0.2585283811155912,-14.468954352838058
546,9768.7,16.700000000000728,1633.9407260378348,-0.23771765897172475,-14.445724866303815
547,9785.3,16.599999999998545,1633.5334447496073,-0.21860003455305974,-14.42470016377047
548,9802,16.700000000000728,1633.1641304935927,-0.20084650837210938,-14.405444739242567
549,9818.7,16.700000000000728,1632.8319299322277,-0.18446541601752747,-14.387935667461159
550,9835.4,16.69999999999891,1632.5330684622868,-0.16935948975620801,-14.372024360747952
551,9852.1,16.700000000000728,1632.264177793531,-0.15543700231592655,-14.35757328908633
552,9868.7,16.600000000000364,1632.023855635476,-0.142683084203004,-14.344533307585982
553,9885.3,16.599999999998545,1631.8073615352685,-0.13093557845955076,-14.332695306603446
554,9902,16.700000000000728,1631.611068567674,-0.12005878033125891,-14.321889210683883
555,9918.6,16.600000000000364,1631.4356894798252,-0.11010781164242323,-14.312151633012304
556,9935.3,16.69999999999891,1631.2766677760806,-0.10090221885275763,-14.303270512842847
557,9952,16.700000000000728,1631.1336309365329,-0.09244003906179583,-14.295226355993954
558,9968.7,16.700000000000728,1631.0049511378256,-0.0846645215368869,-14.287943063412154
559,9985.4,16.69999999999891,1630.8891768187134,-0.07752274086689108,-14.281350998274542
560,10002,16.600000000000364,1630.7857035569516,-0.07100205689147003,-14.275421803165203
