f,t,dt,uScroll,uScrollDelta,camZ
231,7272.4,16.699999999999818,404.99999316975374,8.383725031481004e-7,3.549516343613349
232,7289,16.600000000000364,404.99999384969374,7.569417286507625e-7,3.5495161825311925
233,7305.7,16.699999999999818,469.27150831622583,0.626584766674472,3.444178277199572
234,7322.4,16.699999999999818,528.7842510937105,1.1455674777169864,3.2845473467397324
235,7339.1,16.700000000000728,583.173553929721,1.56390478207775,3.1141798168807506
236,7355.7,16.599999999999454,632.2018864661566,1.8901260142369132,2.9585519178851496
237,7372.3,16.600000000000364,720.6161597340978,2.5687518879388667,2.726635430469124
238,7389.1,16.800000000000182,793.0240625899926,3,2.373232545757015
239,7405.6,16.5,852.771381044714,3,1.9206965492387977
240,7422.3,16.699999999999818,905.3356393003338,3,1.3763654921708228
241,7439,16.699999999999818,995.8528730279215,3,0.6486650618048725
242,7455.7,16.699999999999818,1068.4702958936366,3,-0.16447327038156068
243,7472.3,16.600000000000364,1129.010075621193,3,-0.9839568485611305
244,7489,16.699999999999818,1181.7067850729445,3,-1.767906303836903
245,7505.7,16.699999999999818,1272.290152654032,3,-2.4873949685577554
246,7522.4,16.699999999999818,1344.9405966377622,3,-3.214755944808606
247,7539.1,16.700000000000728,1405.889650025478,3,-3.9997939895354704
248,7555.7,16.599999999999454,1458.1797017970237,3,-4.8428214875728015
249,7572.4,16.699999999999818,1548.7782472625022,3,-5.917244523024112
250,7589,16.600000000000364,1620.9792143842287,3,-7.112120962750812
251,7605.7,16.699999999999818,1682.0207641007992,3,-8.351115141951531
252,7622.3,16.600000000000364,1734.3707100318957,3,-9.543671095646785
253,7639,16.699999999999818,1824.9994110501443,3,-10.68921727831268
254,7655.6,16.600000000000364,1897.2153724838863,3,-11.681784991093265
255,7672.3,16.699999999999818,1958.2644715470149,3,-12.600372051373615
256,7689.1,16.800000000000182,2011.307553824343,3,-13.473650687664945
257,7705.7,16.599999999999454,2057.246192024186,3,-14.296090226547356
258,7722.4,16.699999999999818,2098.3628675133373,3,-15.085783359847525
259,7739,16.600000000000364,2134.833898788402,3,-15.83071021993948
260,7755.7,16.699999999999818,2167.7692704421183,3,-16.537230079984997
261,7772.3,16.600000000000364,2197.1299954750625,2.994936047912764,-17.19336964173027
262,7789,16.699999999999818,2223.7190996455156,2.9615928985711752,-17.80517960632887
263,7805.6,16.600000000000364,2247.4594749959474,2.905449950493609,-18.36376037392812
264,7822.4,16.799999999999272,2269.1211864212946,2.8311339936887117,-18.878971651399887
265,7839,16.600000000000364,2288.320311925241,2.743376348679396,-19.338866005255394
266,7855.6,16.600000000000364,2305.615181831484,2.6455723306234065,-19.75165466967308
267,7872.3,16.699999999999818,2321.2959314828995,2.5400110952809944,-20.1216643930195
268,7889,16.699999999999818,2335.3999274240427,2.4293898263848854,-20.448886809743126
269,7905.7,16.699999999999818,2348.088000586441,2.315770757547649,-20.736315610380604
270,7922.4,16.699999999999818,2359.5034380504458,2.2008436374800793,-20.987121269605723
271,7939.1,16.700000000000728,2369.774456877778,2.0859862336700203,-21.204537777349223
272,7955.7,16.599999999999454,2378.9544001567842,1.9728977529174287,-21.390732415110854
273,7972.3,16.600000000000364,2387.224236451925,1.8619181767038306,-21.550590406782444
274,7989,16.699999999999818,2394.722456670539,1.7531366966760915,-21.69041600645662
275,8005.7,16.699999999999818,2401.4668062912824,1.647632054586457,-21.81374278089408
276,8022.4,16.699999999999818,2407.534130497255,1.5458333170223264,-21.923930866411
277,8039,16.600000000000364,2412.9564905716898,1.4485658401052768,-22.022863978268862
278,8055.7,16.699999999999818,2417.873860024573,1.3550019871475838,-22.11359377858995
279,8072.3,16.600000000000364,2422.2677928782673,1.2662406905647072,-22.19633123439574
280,8089,16.699999999999818,2426.252152450049,1.1813913680102872,-22.27312609040039
281,8105.6,16.600000000000364,2429.8122123217527,1.1013608976700828,-22.34377551516253
282,8122.3,16.699999999999818,2433.0403365970174,1.0252453316624153,-22.40975934692785
283,8139,16.699999999999818,2435.9440230562786,0.9534021763560667,-22.471079908350195
284,8155.7,16.699999999999818,2438.556284327112,0.8857359213373391,-22.528110185665582
285,8172.3,16.600000000000364,2440.8908880146487,0.8224717345903789,-22.580837346185916
286,8189,16.699999999999818,2443.008082075311,0.7627690207673479,-22.63019317240992
287,8205.7,16.700000000000728,2444.9126235760186,0.7068252220768798,-22.67606655787387
288,8222.3,16.599999999998545,2446.614650619411,0.654769691307836,-22.718409242549974
289,8239,16.700000000000728,2448.1581359186166,0.6058558802668512,-22.757950405684127
290,8255.7,16.700000000000728,2449.546572051916,0.5602086452387348,-22.79459551475949
291,8272.3,16.599999999998545,2450.7873623859464,0.5178959569984014,-22.82831171122369
292,8289,16.700000000000728,2451.91256952269,0.4782748763029184,-22.859688840564914
293,8305.6,16.600000000000364,2452.9179889962707,0.44162505240512523,-22.88848980643626
294,8322.3,16.69999999999891,2453.829683183971,0.40737296509169235,-22.91522856881619
295,8339,16.700000000000728,2454.6497582934608,0.3755736021123177,-22.939862409853035
296,8355.6,16.600000000000364,2455.382609199134,0.3462410309561479,-22.962394375536846
297,8372.4,16.799999999999272,2456.051619161695,0.3187464004866425,-22.983366081614484
298,8389,16.600000000000364,2456.6447328612767,0.2935707193680841,-23.002382915729918
299,8405.6,16.600000000000364,2457.179098698656,0.2702674345598138,-23.01983477619937
300,8422.3,16.69999999999891,2457.663632878533,0.2485900516597665,-23.03593149013142
301,8438.9,16.600000000000364,2458.0965576807816,0.22866647092578762,-23.050579824815106
302,8455.7,16.80000000000109,2458.4917313777732,0.21005358186667242,-23.06414633130442
303,8472.3,16.599999999998545,2458.8420559487727,0.19306751781711565,-23.07639077829043
304,8489,16.700000000000728,2459.159791657604,0.17730529922770608,-23.087644526592175
305,8505.7,16.700000000000728,2459.4456312690945,0.16277185972887118,-23.09791270806182
306,8522.3,16.599999999998545,2459.7010855326826,0.1494530777353287,-23.107218969609107
307,8539,16.700000000000728,2459.9327489255584,0.13711222179184754,-23.1157535322107
308,8555.6,16.600000000000364,2460.1397525087905,0.12581326040670648,-23.123478288783453
309,8572.3,16.69999999999891,2460.327460560282,0.11535314219215495,-23.130553454088986
310,8589,16.700000000000728,2460.4963059056836,0.10573092935098126,-23.136987770259314
311,8605.6,16.600000000000364,2460.647192987007,0.09693277367481128,-23.14280124499663
312,8622.3,16.69999999999891,2460.7840228266186,0.08879783758311141,-23.148116875053713
313,8638.9,16.600000000000364,2460.906285162581,0.08136523854911187,-23.15291473006481
314,8655.6,16.700000000000728,2461.0171497742795,0.0744978840112308,-23.15729745257043
315,8672.3,16.69999999999891,2461.1168730354684,0.06819275081517999,-23.161273181735954
316,8689,16.700000000000728,2461.2065881504795,0.06240596591319536,-23.16487813290381
317,8705.6,16.600000000000364,2461.2867676646733,0.05712640819091003,-23.16812622410982
318,8722.3,16.69999999999891,2461.3594805897906,0.052254885988503544,-23.171088327359588
319,8739,16.700000000000728,2461.424890232329,0.04778803933656041,-23.173771130358023
320,8755.7,16.700000000000728,2461.4837374188633,0.04369355977415006,-23.176200115133454
321,8772.3,16.599999999998545,2461.5363308719384,0.039962511976971093,-23.17838559112851
322,8789,16.700000000000728,2461.58402714488,0.0365237597813551,-23.180375985171505
323,8805.6,16.600000000000364,2461.6266467675637,0.03339184723225689,-23.182165805618098
324,8822.3,16.69999999999891,2461.6652938990637,0.03050673117324212,-23.1837949544242
325,8838.9,16.600000000000364,2461.699825559114,0.02788037658361383,-23.18525916117846
326,8855.7,16.80000000000109,2461.7313465468064,0.025448603743347693,-23.186599108169226
327,8872.3,16.599999999998545,2461.75929038971,0.023249298806873323,-23.1877950363431
328,8889,16.700000000000728,2461.784634884967,0.021225271483968598,-23.18888254471256
329,8905.6,16.600000000000364,2461.807283079022,0.019384534072953864,-23.1898590584073
330,8922.3,16.69999999999891,2461.82782093317,0.01769117684639293,-23.190746693849263
331,8939,16.700000000000728,2461.8462953353073,0.016143118845548837,-23.191548154886195
332,8955.7,16.700000000000728,2461.862915911935,0.014728210146107744,-23.192271671622418
333,8972.3,16.599999999998545,2461.877770051927,0.01344252226160878,-23.192920866046407
334,8989,16.700000000000728,2461.891240986575,0.012260715830978448,-23.1935105614672
335,9005.6,16.600000000000364,2461.903278075777,0.011187222863842269,-23.194039524665925
336,9022.3,16.69999999999891,2461.9141931918443,0.010200808974068156,-23.194519869871264
337,9039,16.700000000000728,2461.9240114754334,0.00920434142137341,-23.1949531762928
338,9055.6,16.600000000000364,2461.9327855051893,0.008310327545839657,-23.19534169664877
339,9072.3,16.69999999999891,2461.9407421171572,0.0074985319546522254,-23.195694369529104
340,9089,16.700000000000728,2461.9478993924226,0.006766036737395378,-23.196012388908315
341,9105.7,16.700000000000728,2461.954338501085,0.006105095425162736,-23.196299125653358
342,9122.3,16.599999999998545,2461.960093277753,0.00551211003145728,-23.196556108724245
343,9139,16.700000000000728,2461.9653121830115,0.004973658737330174,-23.196789280191222
344,9155.6,16.600000000000364,2461.969975592611,0.004490569321175143,-23.196998219045735
345,9172.3,16.69999999999891,2461.9742043295037,0.00405190738435696,-23.197187764736437
346,9189,16.700000000000728,2461.9780081323793,0.0036560962045475874,-23.19735858720234
347,9205.7,16.700000000000728,2461.9814302053087,0.003298949899129699,-23.197512522064088
348,9222.3,16.599999999998545,2461.9844885626835,0.0029785242598043557,-23.197650412441792
349,9239,16.700000000000728,2461.9872621195814,0.0026875666713077726,-23.197775464438795
350,9255.6,16.600000000000364,2461.9897404549306,0.0024265244320453476,-23.19788746819516
351,9272.3,16.69999999999891,2461.9919877832667,0.002189489029412012,-23.19798903095443
352,9289,16.700000000000728,2461.9940092821544,0.001975608465592368,-23.19808052288061
353,9305.6,16.600000000000364,2461.9958157777523,0.0017837184323999684,-23.198162452791305
354,9322.3,16.69999999999891,2461.9974539739396,0.0016094756301331717,-23.19823673195333
355,9338.9,16.600000000000364,2461.9989177610437,0.0014531479278239955,-23.198303241482346
356,9355.6,16.700000000000728,2462.000245089004,0.0013111969548155538,-23.198363534355234
357,9372.3,16.69999999999891,2462.0014390271194,0.0011831124838694563,-23.19841783443811
358,9388.9,16.600000000000364,2462.0025059753157,0.0010681972576219417,-23.19846644749131
359,9405.6,16.700000000000728,2462.003473520566,0.0009638502484971079,-23.198510510570358
360,9422.3,16.69999999999891,2462.0043438630887,0.0008696963925896382,-23.198550188874133
361,9438.9,16.600000000000364,2462.005121649248,0.0007852231416657531,-23.19858570723522
362,9455.6,16.700000000000728,2462.005826980131,0.000708518501447115,-23.198617897523114
363,9472.2,16.600000000000364,2462.0064572215583,0.0006397003924300783,-23.198646711159476
364,9489,16.799999999999272,2462.007032525121,0.0005768559883437347,-23.198672976627368
365,9505.6,16.600000000000364,2462.0075425456407,0.0005208262047715513,-23.19869633354686
366,9522.2,16.600000000000364,2462.008002039975,0.00047023857090498056,-23.198717374737893
367,9538.9,16.69999999999891,2462.0084186803056,0.0004243032456652373,-23.198736441568563
368,9555.6,16.700000000000728,2462.0087934411663,0.000382855119552563,-23.19875360671619
369,9572.3,16.69999999999891,2462.0091305867554,0.0003454558598480641,-23.198769059294474
370,9588.9,16.600000000000364,2462.0094318957,0.000311901875054383,-23.19878288808957
371,9605.6,16.700000000000728,2462.0097051445864,0.00028143369366735385,-23.198795417935308
372,9622.3,16.69999999999891,2462.009950947797,0.0002539418011431984,-23.19880669697744
373,9638.9,16.600000000000364,2462.010170613989,0.0002292765390232089,-23.19881679018658
374,9655.6,16.700000000000728,2462.010369818455,0.00020687962596351218,-23.198825934791447
375,9672.2,16.600000000000364,2462.01054781635,0.0001867854934547884,-23.198834117739732
376,9689,16.799999999999272,2462.0107102986135,0.00016843561722046534,-23.19884157490046
377,9705.6,16.600000000000364,2462.0108543432484,0.00015207553538131095,-23.19884820451851
378,9722.2,16.600000000000364,2462.010984117908,0.0001373045015250039,-23.198854175334034
379,9738.9,16.69999999999891,2462.0111017893864,0.00012389189072556709,-23.198859584584756
380,9755.5,16.600000000000364,2462.011206926685,0.00011185832261850297,-23.19886442463726
381,9772.3,16.799999999999272,2462.011302895693,0.00010086931946914791,-23.19886883508032
382,9788.9,16.600000000000364,2462.011387972821,0.00009107192418656297,-23.198872755812932
383,9805.6,16.700000000000728,2462.011465135594,0.00008217554962998758,-23.19887630754541
