f,t,dt,uScroll,uScrollDelta,camZ
220,4916.3,16.699999999999818,404.9999931696584,8.383715179138223e-7,3.5495207477109845
221,4933,16.699999999999818,404.9999938542136,7.564750705998643e-7,3.5495199684606886
222,4949.6,16.600000000000364,468.8320391830063,0.6224886511895883,3.445383146472864
223,4966.3,16.699999999999818,528.4090860448737,1.142498393495173,3.285919400565969
224,4983,16.699999999999818,582.8460994025716,1.561600632492324,3.1154623423901753
225,4999.6,16.600000000000364,631.9120571528796,1.8884125855733074,2.9597886127645223
226,5016.2,16.599999999999454,720.3451952597475,2.5673888531701246,2.7281619706623017
227,5033,16.800000000000182,792.7626355080827,3,2.3751787786436513
228,5049.6,16.600000000000364,852.9057346057684,3,1.9194663388681383
229,5066.3,16.699999999999818,947.458137756893,3,1.254202376743843
230,5083,16.699999999999818,1022.0903503058813,3,0.472936670884479
231,5099.6,16.600000000000364,1083.6319483515026,3,-0.34547402294487795
232,5116.3,16.699999999999818,1178.88846871777,3,-1.2130175565430088
233,5133,16.699999999999818,1253.872252155606,3,-1.9981842050728778
234,5149.6,16.600000000000364,1315.5886625697192,3,-2.7332299877415434
235,5166.2,16.599999999999454,1368.5306651369035,3,-3.4773598097287013
236,5182.9,16.699999999999818,1459.4574552387564,3,-4.40330567194701
237,5199.6,16.700000000000728,1532.279372605444,3,-5.475450641845882
238,5216.3,16.699999999999818,1593.314043910687,3,-6.63493001178074
239,5233,16.699999999999818,1645.9911624913968,3,-7.822327051517984
240,5249.6,16.600000000000364,1736.0159673371506,3,-9.09896145443683
241,5266.3,16.699999999999818,1808.780562831221,3,-10.30418171853133
242,5282.9,16.599999999999454,1869.4089714579231,3,-11.337016301736263
243,5299.6,16.700000000000728,1922.1643524871397,3,-12.260608306829507
244,5316.2,16.599999999999454,1968.2026819313937,3,-13.10145785474205
245,5333,16.800000000000182,2009.6654243631426,3,-13.895234700453518
246,5349.6,16.600000000000364,2046.1484788838645,3,-14.631915176143433
247,5366.3,16.699999999999818,2079.099119379027,3,-15.330449389281535
248,5382.9,16.599999999999454,2108.475647297155,2.995090157119825,-15.983496712424767
249,5399.6,16.700000000000728,2135.0801739374647,2.961882307517224,-16.599647752537724
250,5416.3,16.699999999999818,2158.9943797898995,2.905690388726569,-17.174512811938566
251,5433,16.699999999999818,2180.5002358578363,2.831508543079631,-17.708105839331417
252,5449.6,16.600000000000364,2199.716163104899,2.7438783682790278,-18.197840640976974
253,5466.3,16.699999999999818,2217.140551586142,2.645712857421724,-18.650712145541497
254,5482.9,16.599999999999454,2232.709217144672,2.5405609668949687,-19.06229218902798
255,5499.6,16.700000000000728,2246.8261900238635,2.4300124960968064,-19.439336913952072
256,5516.3,16.699999999999818,2259.524312889519,2.316430576402845,-19.781048774185503
257,5532.9,16.599999999999454,2270.871753693769,2.202096495220194,-20.08771196455203
258,5549.6,16.700000000000728,2281.16196136225,2.0873037781516475,-20.36536095995669
259,5566.2,16.599999999999454,2290.3565986337153,1.9742306201707969,-20.612833197360505
260,5583,16.800000000000182,2298.7497046806916,1.8620812581340926,-20.836772451684297
261,5599.7,16.699999999999818,2306.2403675043774,1.753210170301188,-21.03509221482917
262,5616.3,16.600000000000364,2312.9359602104737,1.648216787372913,-21.210394592913094
263,5633,16.699999999999818,2319.008590095928,1.5464126552581223,-21.36690949859678
264,5649.6,16.600000000000364,2324.4351094685103,1.4491294687940632,-21.504655520572634
