f,t,dt,uScroll,uScrollDelta,camZ
411,8099.6,16.700000000000728,2373.5225229703215,0.0000012250063823904271,-22.494797771546057
412,8116.2,16.599999999999454,2373.522523887638,0.0000011060220191060223,-22.494797774410507
413,8132.8,16.600000000000364,2405.4385468417745,0.3112449855154097,-22.50457457266418
414,8149.5,16.699999999999818,2435.2270704185867,0.5712497936259309,-22.550888357007793
415,8166.2,16.699999999999818,2462.4455771702737,0.7808008555284576,-22.64648727029626
416,8182.8,16.600000000000364,2486.9785560816454,0.9442067800418756,-22.79163877741015
417,8199.5,16.699999999999818,2509.3318961012637,1.0698948899423697,-22.983488557035447
418,8216.2,16.700000000000728,2552.6288397533312,1.3874846847209268,-23.290955041682896
419,8232.9,16.69999999999891,2587.958073366521,1.596373332632914,-23.67224445711252
420,8249.5,16.600000000000364,2617.740935313676,1.7317597232854574,-24.08735276120946
421,8299.5,48,2693.703332073022,1.9634720114868762,-25.358806866194996
422,8316.2,16.700000000000728,2707.882880842575,1.9099066151601836,-25.686100171699227
423,8332.8,16.599999999998545,2746.849431646089,2.1043986738998495,-25.943732110661823
424,8349.5,16.700000000000728,2780.187759848729,2.2238461008012544,-26.096398920361622
425,8366.2,16.700000000000728,2809.1787100809893,2.289242626409199,-26.138726283815988
426,8382.8,16.599999999998545,2834.5930049735302,2.314728789508577,-26.08341657602825
427,8399.5,16.700000000000728,2857.390070571379,2.310863139794078,-25.946854119148625
428,8416.2,16.700000000000728,2900.9085696585175,2.509388712882025,-25.655703912999527
429,8432.8,16.599999999998545,2936.1235952118714,2.609068574809411,-25.280341857704364
430,8449.5,16.700000000000728,2966.1985590616555,2.6474026524650895,-24.868374838153855
431,8466.2,16.700000000000728,2992.3232587468933,2.64348086772154,-24.461801638792394
432,8482.9,16.69999999999891,3014.4955163035697,2.6014097578190234,-24.08939931732094
433,8499.5,16.600000000000364,3049.7698612463114,2.692730134408234,-23.76964763709506
434,8516.1,16.600000000000364,3067.31788054422,2.602314066587255,-23.498829224990644
435,8532.8,16.69999999999891,3073.0680326747997,2.4041649577334137,-23.268186011927387
436,8549.4,16.600000000000364,3072.0800242264936,2.1610143844037997,-23.074108888999692
437,8566.1,16.700000000000728,3067.820028575208,1.9083846007532697,-22.90882259673363
438,8582.8,16.69999999999891,3087.0948559077124,1.9098743834505447,-22.768970930966674
439,8599.4,16.600000000000364,3094.212435818907,1.7937794753831087,-22.651291296833012
440,8616.1,16.700000000000728,3092.8883919325453,1.605645732340065,-22.55106912686388
441,8632.9,16.799999999999272,3086.872951406439,1.389279603458611,-22.46580306372373
442,8649.5,16.600000000000364,3079.0959665605105,1.1784985544002546,-22.394518790274745
443,8666.1,16.600000000000364,3095.656640310647,1.2255306129769497,-22.334143521160183
444,8682.8,16.69999999999891,3100.8618178468964,1.1565598354734818,-22.28272476440013
445,8699.5,16.700000000000728,3098.036447104565,1.0160365274491434,-22.239218441607274
446,8716.1,16.600000000000364,3090.9839057012323,0.8485731721872231,-22.20260959522217
447,8732.8,16.69999999999891,3082.2544611993,0.6805766723695021,-22.17143157489782
448,8749.5,16.700000000000728,3098.1966952235257,0.7695155478380586,-22.145051298482286
449,8766.1,16.600000000000364,3102.8069547327977,0.7397319172603044,-22.122853341383244
450,8782.9,16.799999999999272,3099.5041748327335,0.6348712596089401,-22.103844436233764
451,8799.4,16.5,3092.1734462289623,0.502048754059053,-22.088040627859975
452,8816.2,16.80000000000109,3083.1134885013894,0.36442832866349917,-22.07441823936449
453,8832.8,16.599999999998545,3046.729750521661,-0.025781438397812995,-22.06302962787267
454,8849.5,16.700000000000728,3014.691818701445,-0.33560131495369894,-22.059601614088958
455,8866.1,16.600000000000364,2986.5377730398855,-0.5775618083893374,-22.095786777722825
456,8882.8,16.69999999999891,2961.2476806935965,-0.7676961354671735,-22.187395567388283
457,8899.5,16.700000000000728,2938.6186932597534,-0.9133140054362987,-22.335176954875227
458,8916.1,16.600000000000364,2895.450809432979,-1.2455759511206994,-22.619891728912133
459,8932.8,16.69999999999891,2859.99719118126,-1.4695396028809289,-23.005812193917155
460,8949.4,16.600000000000364,2830.1447562216717,-1.6179237749356052,-23.446632099562503
461,8966.1,16.700000000000728,2803.999557659876,-1.714766632452552,-23.91380060377843
462,8982.8,16.69999999999891,2780.9436094220973,-1.772032227167026,-24.37687333397294
463,8999.5,16.700000000000728,2737.2958483344405,-2.0244537561043665,-24.848355888006537
464,9016.1,16.600000000000364,2702.0165495514625,-2.171861940207185,-25.248803522239417
465,9032.8,16.69999999999891,2671.9092253716913,-2.2532200948621957,-25.554240459499642
466,9049.5,16.700000000000728,2645.768367936389,-2.287961614485114,-25.759779541192135
467,9066.1,16.600000000000364,2622.8732227883747,-2.2890055378053136,-25.874052807283835
468,9082.8,16.69999999999891,2579.210202251605,-2.4910752160792895,-25.837544837836266
469,9099.5,16.700000000000728,2543.6981837654157,-2.5939414304439676,-25.689281525035067
470,9116.1,16.600000000000364,2513.8244352927086,-2.6333207666827727,-25.468470188827293
471,9132.8,16.69999999999891,2487.6755301077123,-2.6310105528886707,-25.20220566112816
472,9149.5,16.700000000000728,2464.624051680947,-2.598729146720314,-24.915906266465868
473,9166.1,16.600000000000364,2421.2460917259095,-2.769336072151434,-24.593284318277753
474,9182.8,16.69999999999891,2385.6867042001995,-2.845482134676754,-24.290615564124284
475,9199.4,16.600000000000364,2355.781677351218,-2.860734452023286,-24.02712217505595
476,9216.1,16.700000000000728,2329.609999788667,-2.8364313066051823,-23.784321449473797
