f,t,dt,uScroll,uScrollDelta,camZ
219,4961.4,16.599999999999454,404.9999931693092,8.383639831775695e-7,3.5495212653395947
220,4978.1,16.700000000000728,404.9999938540391,7.564682718954468e-7,3.5495204135408507
221,4994.7,16.599999999999454,468.8320391829147,0.6224886511842597,3.4453835305614335
222,5011.5,16.800000000000182,528.8120408127774,1.1459043444663959,3.284675699747474
223,5028.1,16.600000000000364,582.8218952765563,1.561305421249326,3.115341918156592
224,5044.8,16.699999999999818,674.2863281880249,2.300477373697487,2.9259947907621338
225,5061.4,16.599999999999454,746.9178424343314,2.7853330521832667,2.650296301091383
226,5078.1,16.700000000000728,808.1761643142298,3,2.2721719006620757
227,5094.8,16.699999999999818,860.9789930268516,3,1.805648711816327
228,5111.4,16.599999999999454,951.0663049987592,3,1.1491406924408367
229,5128.1,16.700000000000728,1023.8623716238375,3,0.37748827134581964
230,5144.8,16.699999999999818,1084.8997384850436,3,-0.4353042734410437
231,5161.4,16.599999999999454,1137.2476045657384,3,-1.2316856024484488
232,5178.1,16.700000000000728,1227.875258419479,3,-2.0107913250045293
233,5194.8,16.699999999999818,1300.547814863895,3,-2.7262304393007932
234,5211.5,16.699999999999818,1361.5079091653793,3,-3.4583007853245893
235,5228.1,16.600000000000364,1413.8034508348353,3,-4.229377391704535
236,5244.7,16.599999999999454,1503.8558642676467,3,-5.2092443291402555
237,5261.4,16.699999999999818,1576.6343601521799,3,-6.3416491053362645
238,5278.1,16.700000000000728,1637.662953813791,3,-7.542500554592912
239,5294.8,16.699999999999818,1690.3510775424133,3,-8.74282931499197
240,5311.4,16.599999999999454,1780.3813545021317,3,-9.964546177188872
241,5328,16.600000000000364,1852.6910973679674,3,-11.04322457477099
242,5344.8,16.800000000000182,1914.1967551247826,3,-12.008403529326467
243,5361.4,16.599999999999454,1966.5250159206269,3,-12.884892692783309
244,5378.1,16.700000000000728,2012.8742025114561,3,-13.713176572428338
245,5394.7,16.599999999999454,2053.74274435266,3,-14.492584449879281
246,5411.4,16.699999999999818,2090.525043905223,3,-15.236244363581628
247,5428,16.600000000000364,2123.253439317598,3,-15.934604741742671
248,5444.7,16.699999999999818,2152.8610008861897,2.9955891700652164,-16.595284246979993
249,5461.4,16.699999999999818,2179.458285588108,2.9622619725282098,-17.212260147995348
250,5478.1,16.700000000000728,2203.3688754876016,2.9059977141175657,-17.78451561361126
251,5494.7,16.599999999999454,2224.729456468466,2.832047028324768,-18.308548443406494
252,5511.4,16.699999999999818,2244.096511336251,2.74420783622607,-18.791339071719644
253,5528,16.600000000000364,2261.399938701086,2.6464065081781474,-19.227909194947806
254,5544.8,16.800000000000182,2277.19410772121,2.540353604637163,-19.627647852968956
255,5561.4,16.599999999999454,2291.1955681314544,2.430151882641555,-19.982755567647885
256,5578.1,16.700000000000728,2303.8944478651306,2.316563725671235,-20.302574184204996
257,5594.7,16.599999999999454,2315.242265008535,2.2022203818020443,-20.585718300923276
258,5611.4,16.699999999999818,2325.5326621565127,2.087417410093026,-20.83835327976679
259,5628.1,16.700000000000728,2334.7891562919326,1.973749445882798,-21.061347234629995
260,5644.7,16.599999999999454,2343.0612231321347,1.8627088972844565,-21.25626109845601
261,5661.4,16.699999999999818,2350.562675012338,1.753881681121948,-21.428062825059484
