f,t,dt,uScroll,uScrollDelta,camZ
411,8161.3,16.699999999999818,2417.893412713558,0.0000012257847468649938,-22.649103886731094
412,8178,16.699999999999818,2417.8934136378393,0.0000011060437802471353,-22.649103909076025
413,8194.6,16.600000000000364,2449.8094365916268,0.311244985531652,-22.701849500572642
414,8211.3,16.69999999999891,2479.5979601682616,0.5712497936388574,-22.819161739055392
415,8228,16.700000000000728,2506.8164669198627,0.7808008555392798,-22.999056671833543
416,8244.7,16.700000000000728,2531.5149166294336,0.9453138117601252,-23.232496426096468
417,8261.3,16.599999999998545,2553.6928502025835,1.0697743376104871,-23.504901229822405
418,8278,16.700000000000728,2596.9947685608363,1.3874244070565451,-23.883420002117735
419,8294.6,16.600000000000364,2632.1021032006765,1.5950299998058097,-24.306972290599283
420,8344.7,48,2718.2676990754485,1.9523434286647239,-25.524756474524246
421,8361.3,16.599999999998545,2734.0458197540042,1.9165808233054054,-25.820753340381188
422,8377.9,16.600000000000364,2773.8728060578396,2.1188155571497447,-26.00701170991431
423,8394.6,16.700000000000728,2807.6443469198002,2.2410780662081677,-26.06821979029262
424,8411.3,16.69999999999891,2836.8516034096256,2.3069000580645582,-26.014833520486608
425,8427.9,16.600000000000364,2862.3734527397096,2.3317200294026916,-25.86954538293843
426,8444.6,16.700000000000728,2885.2246699199727,2.3267225125684865,-25.653080343592638
427,8461.3,16.69999999999891,2928.7702072893026,2.523962457122557,-25.30179232487417
428,8477.9,16.600000000000364,2963.998677147354,2.622357885708366,-24.894699015914323
429,8494.6,16.700000000000728,2994.0804099449397,2.6594597856249895,-24.481071361960314
430,8511.3,16.69999999999891,3018.46675118506,2.637412912083058,-24.102939599509053
431,8528,16.700000000000728,3033.5658120691887,2.526977837113477,-23.779334522945508
432,8544.6,16.600000000000364,3064.0096192103524,2.5784205125201676,-23.507033676152254
433,8561.2,16.600000000000364,3078.1101020616015,2.465487031033778,-23.276404448837038
434,8577.9,16.69999999999891,3081.3161448794667,2.255901326842473,-23.079988460718145
435,8594.7,16.80000000000109,3078.3639151754433,2.0055081096611524,-22.91288353722824
436,8611.3,16.599999999998545,3072.699412171744,1.7554738928290705,-22.773180206007897
437,8628,16.700000000000728,3066.17075160482,1.5203421401400654,-22.654201496480997
438,8644.6,16.600000000000364,3084.654121689828,1.5529211428761878,-22.554085627785156
439,8661.3,16.69999999999891,3091.8280840754333,1.4711628892762598,-22.468821684853072
440,8678,16.700000000000728,3090.7659348640136,1.317097211398509,-22.39667834927798
441,8694.6,16.600000000000364,3085.192647506486,1.1348175923287085,-22.335972591580358
442,8711.3,16.69999999999891,3077.682884095397,0.9507499550738304,-22.28427237334918
443,8728,16.700000000000728,3094.604355894636,1.022843518612633,-22.240527901009585
444,8744.6,16.600000000000364,3099.98745270169,0.9759909304489177,-22.203718661219256
445,8761.3,16.69999999999891,3097.3453374263654,0.8548930836140982,-22.172369975324205
446,8778,16.700000000000728,3090.3793046616966,0.703470753211152,-22.14584529573994
447,8794.7,16.700000000000728,3081.7701855294704,0.5508216589954711,-22.12340229352277
448,8811.3,16.599999999998545,3097.740724919227,0.6530647443110142,-22.104517396619375
449,8828,16.700000000000728,3102.4842917640185,0.6355151304890829,-22.088434024494408
450,8844.6,16.600000000000364,3099.3457518728023,0.5431808727970107,-22.074900504268374
451,8861.2,16.600000000000364,3092.0243692965378,0.4190240615937495,-22.063438089261805
452,8878,16.799999999999272,3083.01195983033,0.29002342143106513,-22.053622413041165
453,8894.6,16.600000000000364,3046.6516692120517,-0.09273076987951928,-22.04541629536632
454,8911.2,16.600000000000364,3014.836236525087,-0.3939869025569923,-22.044590991256577
455,8927.9,16.69999999999891,2986.465095593293,-0.6320909666815687,-22.083429299253833
456,8944.6,16.700000000000728,2961.1841028661397,-0.8168098924220991,-22.1771181318875
457,8961.3,16.69999999999891,2938.5596589388633,-0.9575857829634252,-22.32668038918712
458,8977.9,16.600000000000364,2895.3940342898786,-1.285525597780361,-22.61292078872405
459,8994.6,16.700000000000728,2859.941553490548,-1.5055756732796357,-23.000138225988028
460,9011.3,16.69999999999891,2829.894991363576,-1.651427731445537,-23.44520470994261
461,9027.9,16.600000000000364,2803.955812240348,-1.7439832449440245,-23.910161113388288
462,9044.7,16.80000000000109,2780.7420318437084,-1.7988967792093518,-24.3768719219268
463,9061.3,16.599999999998545,2737.378652830385,-2.047048898847544,-24.845682407495147
464,9078,16.700000000000728,2701.826606527261,-2.193680122390955,-25.248632995933402
465,9094.6,16.600000000000364,2671.925229970581,-2.272206102090783,-25.552440880491652
466,9111.3,16.69999999999891,2645.7553902597188,-2.305375519449095,-25.75822429972173
467,9127.9,16.600000000000364,2622.8395756511736,-2.304929605269007,-25.872639092136016
468,9144.6,16.700000000000728,2579.166148440151,-2.5055451934710105,-25.8362000932393
469,9161.3,16.69999999999891,2543.648933825202,-2.6070485630739575,-25.68797512405249
470,9177.9,16.600000000000364,2513.772601669929,-2.6451800049271035,-25.467196542553538
471,9194.6,16.700000000000728,2487.6223956506483,-2.6417240015240635,-25.20097252791353
472,9211.3,16.69999999999891,2464.570267707791,-2.608402382664321,-24.91472708002225
473,9228,16.700000000000728,2420.9244141214026,-2.7791043714129695,-24.59007452035492
474,9244.6,16.600000000000364,2385.6460638094873,-2.8532044039006315,-24.289539157174595
475,9261.2,16.600000000000364,2355.734160455119,-2.8677737198814466,-24.0261805189676
476,9278,16.799999999999272,2329.387340962324,-2.8428204745078682,-23.7819975079866
477,9294.6,16.600000000000364,2306.4979273490426,-2.78991529249739,-23.554386237456672
478,9311.2,16.600000000000364,2263.1054225533417,-2.9420942274588118,-23.302887026178094
479,9327.9,16.69999999999891,2227.5387119812203,-3,-23.02644501651833
480,9344.6,16.700000000000728,2197.4351140910344,-3,-22.732091134138948
481,9361.2,16.600000000000364,2171.4675749494672,-2.961845812744259,-22.4281599873741
482,9377.9,16.69999999999891,2148.3919615554364,-2.897482006863274,-22.116571955970787
483,9394.6,16.700000000000728,2104.734381511057,-3,-21.751389383679022
484,9411.2,16.600000000000364,2069.450200426571,-3,-21.36174392456695
485,9428,16.799999999999272,2039.1454449026119,-3,-20.958530690205645
486,9444.6,16.600000000000364,2013.209222859171,-2.9615404094522026,-20.565535782234168
487,9461.3,16.69999999999891,1990.1556975744734,-2.896991099585359,-20.18427039415091
488,9478,16.700000000000728,1946.5091462850573,-3,-19.785796804461373
489,9494.6,16.600000000000364,1911.2304490527272,-3,-19.403520889599346
490,9511.3,16.69999999999891,1881.123427742091,-3,-19.05005953171897
491,9527.9,16.600000000000364,1855.1541863656203,-2.961862412882029,-18.739267043818128
492,9544.6,16.700000000000728,1832.0777159291827,-2.8975053407350164,-18.471377501255414
493,9561.3,16.69999999999891,1811.5560486008403,-2.814528180026957,-18.237223967113437
494,9577.9,16.600000000000364,1793.3336993940873,-2.718857961094643,-18.025288026822974
495,9594.6,16.700000000000728,1776.8680349261667,-2.613789955808793,-17.82494394573279
496,9611.2,16.600000000000364,1762.18457213172,-2.5031062558048123,-17.634059954260394
497,9628,16.799999999999272,1748.7960159794309,-2.3876859542723077,-17.446378958368413
498,9644.6,16.600000000000364,1736.9340407906495,-2.2714485897921506,-17.26552973021334
499,9661.2,16.600000000000364,1726.2508533755836,-2.1550058135611514,-17.088726794671043
500,9677.9,16.69999999999891,1716.5658673960788,-2.038912840282716,-16.9149941740995
501,9694.6,16.700000000000728,1707.8553127891882,-1.924660678525223,-16.745910052231874
502,9711.2,16.600000000000364,1700.0717952886193,-1.813623784800557,-16.583041239120885
503,9727.9,16.69999999999891,1693.013719326105,-1.7052689758689428,-16.424797161534446
504,9744.5,16.600000000000364,1686.7072244556632,-1.601137632266712,-16.27368389318109
505,9761.2,16.700000000000728,1680.9887177821606,-1.5004800812765728,-16.128141573126815
506,9777.9,16.69999999999891,1675.844930294152,-1.4040523311547115,-15.989460844550413
507,9794.6,16.700000000000728,1671.2173877920193,-1.3120112591326367,-15.857841302615048
508,9811.2,16.600000000000364,1667.0817047046137,-1.2249071911102036,-15.734155762047637
509,9827.9,16.69999999999891,1663.33115515026,-1.1418161198196535,-15.616832676617047
510,9844.5,16.600000000000364,1659.9798247954639,-1.0635940537105661,-15.507299266994412
511,9861.2,16.700000000000728,1656.94087637791,-0.9893234688699022,-15.404032098555572
512,9877.9,16.69999999999891,1654.2073069856503,-0.919330871942485,-15.307570011091551
513,9894.6,16.700000000000728,1651.748066223098,-0.8535010778709065,-15.217692014936015
514,9911.3,16.69999999999891,1649.5354422293326,-0.7916976060363515,-15.134143266850312
515,9927.9,16.600000000000364,1647.5578983662508,-0.7340852865128052,-15.057115041327739
516,9944.6,16.700000000000728,1645.764462417958,-0.6798602927864864,-14.98533640297725
517,9961.2,16.600000000000364,1644.161900216209,-0.629453876642839,-14.919407642034013
518,9977.9,16.69999999999891,1642.7087024626321,-0.5821328299373341,-14.858187351359224
519,9994.6,16.700000000000728,1641.4015279648559,-0.5380107635725584,-14.801798255101556
520,10011.3,16.69999999999891,1640.2255324546225,-0.49691990169753103,-14.74993571485192
521,10027.9,16.600000000000364,1639.1745266874789,-0.4589036502024056,-14.702587690807855
522,10044.5,16.600000000000364,1638.2277512558182,-0.42356345075151236,-14.659131740808872
523,10061.2,16.700000000000728,1637.369331178778,-0.39055634349359397,-14.619053220608752
524,10077.9,16.69999999999891,1636.5972248912794,-0.3599320658556686,-14.582370630837818
525,10094.5,16.600000000000364,1635.9072647206976,-0.33170048163497107,-14.549031694530584
526,10111.2,16.700000000000728,1635.2815968763844,-0.3053979168150547,-14.518378617429466
527,10127.9,16.69999999999891,1634.7187915053307,-0.2810518746625806,-14.490403313291955
528,10144.6,16.700000000000728,1634.212461794987,-0.25853349711146933,-14.464893461785609
529,10161.2,16.600000000000364,1633.7599451570854,-0.23783517255828962,-14.44178857568456
530,10177.9,16.69999999999891,1633.3495666481842,-0.21860299513717488,-14.420613801068544
531,10194.6,16.700000000000728,1632.9804056573325,-0.20084768556645144,-14.401347248680166
532,10211.2,16.600000000000364,1632.6504978413648,-0.18455668290589028,-14.383932551387607
533,10227.8,16.599999999998545,1632.3533162538035,-0.16952887351277532,-14.368097962812579
534,10244.5,16.700000000000728,1632.0838727240841,-0.15559522964576467,-14.35362195676722
535,10261.2,16.700000000000728,1631.8415238097903,-0.14275855000220924,-14.34048109370685
536,10277.9,16.69999999999891,1631.6235052586853,-0.13093862620951766,-14.328558367826405
537,10294.5,16.600000000000364,1631.4286635321318,-0.12012070159101232,-14.317810125395352
538,10311.2,16.700000000000728,1631.2519682366428,-0.11010929829221763,-14.30800329631794
539,10327.9,16.69999999999891,1631.0930212602905,-0.10090283176033046,-14.299117269577971
