f,t,dt,uScroll,uScrollDelta,camZ
211,4910.1,16.700000000000728,404.9999931701132,8.383161302525489e-7,3.1143120722201956
212,4926.7,16.599999999999454,404.99999384987404,7.568908312312454e-7,3.114308912980445
213,4943.4,16.699999999999818,469.2715083163158,0.6265847666276663,3.0185434057512075
214,4960,16.600000000000364,528.3818277470896,1.142166702760219,2.8882560487187083
215,4976.7,16.699999999999818,582.8324891328717,1.5614343978735727,2.762545686370014
216,4993.3,16.600000000000364,631.9052331222864,1.8883286764308083,2.611958635809333
217,5010,16.699999999999818,720.8839262459683,2.571321793894769,2.316846956549714
218,5026.7,16.699999999999818,792.7331445059572,3,1.873831160125503
219,5043.3,16.600000000000364,852.8909481630446,3,1.3174273372992291
220,5060.1,16.800000000000182,948.0157972066253,3,0.5503285535372264
221,5076.7,16.599999999999454,1022.0597817859195,3,-0.28968482918087557
222,5093.4,16.699999999999818,1084.0136521827287,3,-1.1341388501268497
223,5110,16.600000000000364,1136.803331331951,3,-1.9141476783998699
224,5126.7,16.699999999999818,1227.6534295342374,3,-2.6469173632137566
225,5143.3,16.600000000000364,1299.9794767781154,3,-3.4320205995639204
226,5160,16.699999999999818,1361.0840019208804,3,-4.310797561789999
227,5176.7,16.699999999999818,1413.8100387948546,3,-5.268727881587248
228,5193.3,16.600000000000364,1503.859167391463,3,-6.457235985899402
229,5210,16.699999999999818,1576.6360094243948,3,-7.759577888288101
230,5226.7,16.699999999999818,1637.6637773057703,3,-9.05184086412358
231,5243.4,16.699999999999818,1690.3514887162676,3,-10.247046545014127
232,5260,16.600000000000364,1780.3815606581402,3,-11.322690348506118
233,5276.7,16.699999999999818,1853.1488080333984,3,-12.442833446359742
234,5293.4,16.699999999999818,1914.171785231839,3,-13.64960419437044
235,5310.1,16.700000000000728,1966.85710461922,3,-14.927156788578408
236,5326.7,16.599999999999454,2012.8480800793186,3,-16.229202948120864
237,5343.4,16.699999999999818,2054.0024809705446,3,-17.531669602442253
238,5360,16.600000000000364,2090.502405092819,3,-18.78010507917278
239,5376.7,16.699999999999818,2123.46153910661,3,-19.959765187293897
240,5393.3,16.600000000000364,2152.842290275741,2.995131342122145,-21.03301466965813
241,5426.7,33.399999999999636,2208.6720327815547,2.9562531610602205,-22.86644870636986
242,5443.4,16.699999999999818,2227.5208314071792,2.851228385392251,-23.57812600130849
243,5460,16.600000000000364,2245.4155841217544,2.7487987806713514,-24.166514996678956
244,5476.6,16.600000000000364,2262.0613062526345,2.6441376166744393,-24.64656408724035
245,5493.3,16.699999999999818,2277.4196320748624,2.535573216204526,-25.031804323675313
246,5510,16.699999999999818,2291.3666071841085,2.4238546634397617,-25.331400179838692
247,5526.7,16.699999999999818,2303.979848916629,2.3100467649460117,-25.55743148462979
