f,t,dt,uScroll,uScrollDelta,camZ
58,1698,16.700000000000045,0,0,35.22998303741947
59,1714.6,16.59999999999991,0,0,34.95438217859347
60,1731.3,16.700000000000045,38.56290847451784,0.3759504482023635,34.664417308229936
61,1747.9,16.600000000000136,74.02910003087584,0.6852996488816203,34.360722261766824
62,1764.5,16.59999999999991,106.47993560390111,0.9351962390798065,34.03946563660978
63,1781.2,16.700000000000045,136.1563935017876,1.1331577453162072,33.69733218743989
64,1797.9,16.700000000000045,162.97581719534446,1.2839280772885204,33.33606274865782
65,1814.6,16.699999999999818,187.16625181593517,1.3943403277739872,32.95571822324304
66,1831.3,16.700000000000045,208.96203508382135,1.4706214444141157,32.556599893129665
67,1847.9,16.600000000000136,228.45755638762188,1.517900262549462,32.14191045589329
68,1864.6,16.699999999999818,246.14586438669306,1.5420675624513345,31.706616504951466
69,1881.2,16.600000000000136,261.9554830095191,1.546462049193334,31.2568707636425
70,1897.9,16.700000000000045,276.2935430660829,1.5351776627238267,30.78714401329381
71,1914.6,16.699999999999818,289.19183222708557,1.510959242377896,30.3007152824505
72,1931.3,16.700000000000045,300.7962258420354,1.4764923924466011,29.797869009135162
73,1947.9,16.600000000000136,311.16749682419066,1.4342215842793455,29.282239821686908
74,1964.6,16.699999999999818,320.5731014650002,1.3858148330051585,28.747215559057278
75,1981.3,16.700000000000045,329.03407842540764,1.3329275112165997,28.196251043973323
76,1997.9,16.600000000000136,336.59541817596204,1.2771987453270965,27.633109858826092
77,2014.5,16.59999999999991,343.4066999375627,1.2195683510327653,27.054233427175536
78,2031.3,16.799999999999955,349.6234532062593,1.1603464070991265,26.451742560656783
79,2047.9,16.600000000000136,355.1343684906412,1.1013847017550702,25.841130333154613
80,2064.5,16.59999999999991,360.0991403913437,1.0428239504794805,25.216914750606584
81,2081.2,16.699999999999818,364.600782749465,0.9848421242975731,24.57947115566835
82,2097.9,16.700000000000273,368.64988417580935,0.9281124322791968,23.9367430877038
83,2114.6,16.699999999999818,372.29254716051446,0.8729620134686258,23.29203240699615
84,2131.2,16.59999999999991,375.548003843164,0.8199186786771651,22.652243975006645
85,2147.9,16.700000000000273,378.50028284322445,0.7686066177289379,22.01147899401996
86,2164.6,16.699999999999818,381.1560258539096,0.7194160487553976,21.37589641050409
87,2181.2,16.59999999999991,383.5293739540171,0.672684276659646,20.751157859509203
88,2197.9,16.700000000000273,385.6816458525931,0.6279555475387144,20.13063991858531
89,2214.6,16.699999999999818,387.617712719237,0.5854883645021449,19.5195794963533
90,2231.3,16.700000000000273,389.35952130500266,0.5452757673298401,18.91895453062596
91,2247.9,16.59999999999991,390.91621897762985,0.5074942211305299,18.333270703732584
92,2264.6,16.699999999999818,392.3279626333234,0.47168268494033555,17.755679024034137
93,2281.2,16.59999999999991,393.58944255596305,0.4381702507864703,17.19404974834959
94,2297.9,16.700000000000273,394.73334144894096,0.40651941389334767,16.64161389744448
95,2314.6,16.699999999999818,395.7622933774111,0.3768397738384994,16.10233938472154
96,2331.3,16.700000000000273,396.68798515014606,0.3490527088602636,15.576465982062336
97,2347.9,16.59999999999991,397.5152896916148,0.32321720979002155,15.067359943643089
98,2364.6,16.699999999999818,398.2655539788394,0.2989580274844045,14.568631453838925
99,2381.2,16.59999999999991,398.93595902782835,0.27645812550227844,14.086664400324832
100,2397.9,16.700000000000273,399.54387525820715,0.2553788577313255,13.615324795608128
101,2414.5,16.59999999999991,400.0870546253779,0.23587108189581493,13.160562907665584
102,2431.2,16.699999999999818,400.5795890917317,0.21763170678669524,12.716525698249592
103,2447.9,16.700000000000273,401.02262235299946,0.20069145968010715,12.286079459588265
104,2464.6,16.699999999999818,401.42119120329994,0.1849725388537347,11.869114685693008
105,2481.2,16.59999999999991,401.77739617823755,0.1704799316412826,11.468005574410363
106,2497.9,16.700000000000273,402.10042964659664,0.15697583273845092,11.07750099604339
107,2514.6,16.699999999999818,402.3910174058148,0.14447456999159508,10.700042665695406
108,2531.2,16.59999999999991,402.65070628023085,0.1329742919658249,10.337713669230308
109,2547.8,16.600000000000364,402.884634280023,0.12233981200186957,9.987901336321709
110,2564.6,16.799999999999727,403.098143337711,0.1124019773629033,9.64621795509988
111,2581.2,16.59999999999991,403.28741082995293,0.10333015003418337,9.321042656674429
112,2597.9,16.700000000000273,403.45906672162874,0.09490980504623898,9.00584722558073
113,2614.5,16.59999999999991,403.61245791886995,0.08718712075295523,8.704400762197336
114,2631.2,16.699999999999818,403.751554784988,0.0800262915066393,8.412660671211041
115,2647.9,16.700000000000273,403.87667576267734,0.0734287177648027,8.132362157543962
116,2664.6,16.699999999999818,403.98924103111153,0.0673532231799462,7.863280843497279
117,2681.2,16.59999999999991,404.08984266996606,0.06179229628114154,7.606777663208494
118,2697.9,16.700000000000273,404.18107627508556,0.05664554452489129,7.3593741575143365
119,2714.5,16.59999999999991,404.2625989356582,0.051938592468165116,7.123959357067995
120,2731.2,16.699999999999818,404.33652287287447,0.047585648999235675,6.897321473912802
121,2747.9,16.700000000000273,404.4030183686776,0.04358550346391295,6.680755428329968
122,2764.5,16.59999999999991,404.4624415252726,0.03993155417144221,6.475293548626054
123,2781.2,16.699999999999818,404.5163286201342,0.03655618052150219,6.278104360862793
124,2797.9,16.700000000000273,404.56480211128354,0.03345775343785253,6.090286445463498
125,2814.5,16.59999999999991,404.608120734571,0.030630457447341893,5.9126954938503395
126,2831.2,16.699999999999818,404.64740399480394,0.028021289792913094,5.742854902675862
127,2847.9,16.700000000000273,404.6827409541904,0.025628526517829934,5.5816816589810445
128,2864.6,16.699999999999818,404.7145322612286,0.02343493405687722,5.428940073579906
129,2881.2,16.59999999999991,404.74294491192904,0.021435787822171544,5.285272681950228
130,2897.9,16.700000000000273,404.7687118641911,0.01959303213196827,5.148635456751976
131,2914.5,16.59999999999991,404.79173621546926,0.017914501726796178,5.020506248071338
132,2931.2,16.699999999999818,404.81261449061725,0.01636806360027327,4.8990391509605775
133,2947.8,16.600000000000364,404.8312694608064,0.014960162996764205,4.785520093345329
134,2964.5,16.699999999999818,404.8481850898937,0.013663687988042622,4.6782894096038445
135,2981.2,16.699999999999818,404.863400651565,0.01247728534870972,4.577848799841278
136,2997.9,16.700000000000273,404.87708912701993,0.011391889039520202,4.483963361442606
137,3014.6,16.699999999999818,404.889404838661,0.010399136733699842,4.396398381389412
138,3031.2,16.59999999999991,404.9004120381194,0.009496414724088818,4.315406523932976
139,3047.9,16.700000000000273,404.910394460036,0.008568756029220323,4.239742354379295
140,3064.5,16.59999999999991,404.9193144544208,0.007736476299961518,4.170114097330486
141,3081.2,16.699999999999818,404.9274030700785,0.006980737453689535,4.105420714368402
142,3097.8,16.600000000000364,404.9346303599514,0.006302701311900547,4.046232481588687
143,3114.5,16.699999999999818,404.9411838072474,0.0056870209901142155,3.991580824219923
144,3131.2,16.699999999999818,404.94707862060176,0.005131483492789387,3.9416162530424295
145,3147.9,16.700000000000273,404.9523818129667,0.004630213759109239,3.896105263817993
146,3164.5,16.59999999999991,404.9571213309342,0.004180483011647116,3.8550554120235576
147,3181.2,16.699999999999818,404.9614194832971,0.003772111902425527,3.8177276201843697
148,3197.9,16.700000000000273,404.9652859266676,0.0034036325861814976,3.7841551784180014
149,3214.6,16.699999999999818,404.9687644539076,0.003071148227142315,3.754105054760504
150,3231.2,16.59999999999991,404.97187331483195,0.0027728488700030454,3.727497626547373
151,3247.8,16.600000000000364,404.9746738869553,0.002503523206052293,3.703910689683085
152,3264.5,16.699999999999818,404.9772131146754,0.0022589661666457986,3.6829973382803853
153,3281.2,16.699999999999818,404.97949702993026,0.0020382987182679326,3.664677984703251
154,3297.9,16.700000000000273,404.9815516671012,0.0018391872026404404,3.6487200260209063
155,3314.5,16.59999999999991,404.983387889167,0.0016605477102975682,3.63496809461236
156,3331.2,16.699999999999818,404.98505309943005,0.0014983368584700883,3.623024692381922
157,3347.9,16.700000000000273,404.9865510477853,0.0013519715980022658,3.612746663411779
158,3364.5,16.59999999999991,404.98788971227384,0.0012206551558356538,3.6039557603432293
159,3381.2,16.699999999999818,404.9891036800609,0.0011014152740859,3.5963456617153575
160,3397.8,16.600000000000364,404.99018841273266,0.0009944352640363946,3.5898364937806804
161,3414.5,16.699999999999818,404.9911720274757,0.0008972937063043844,3.5842014875536643
162,3431.2,16.699999999999818,404.9920567960825,0.0008096414361910564,3.579354631667906
163,3447.8,16.600000000000364,404.9928474598373,0.0007310012983446841,3.575208772133369
164,3464.5,16.699999999999818,404.9935644614334,0.0006595933270132032,3.571619521306071
165,3481.2,16.699999999999818,404.994209431009,0.0005951608540580237,3.5685321367205503
166,3497.8,16.600000000000364,404.99478581159093,0.0005373531264495233,3.565891143819588
167,3514.5,16.699999999999818,404.99530849906046,0.00048486170579776925,3.563604599410317
168,3531.2,16.699999999999818,404.9957786785388,0.0004374979174355022,3.5616376608844105
169,3547.9,16.700000000000273,404.9962016809428,0.0003947608678344125,3.5599456204662108
170,3564.5,16.59999999999991,404.9965797282789,0.0003564179080065446,3.5584981105971027
171,3581.1,16.59999999999991,404.99692028561304,0.0003217991840089064,3.5572517272857485
172,3597.9,16.800000000000182,404.99723112270766,0.0002901855126811639,3.556166518814415
173,3614.5,16.59999999999991,404.99750667070066,0.0002619999138491381,3.5552440327214634
174,3631.2,16.699999999999818,404.997756580078,0.0002364064130176689,3.5544452293319404
175,3647.8,16.600000000000364,404.9979798991026,0.00021344435589404012,3.55376178514004
176,3664.5,16.699999999999818,404.998182407687,0.00019259401201495,3.5531699419523712
177,3681.2,16.699999999999818,404.998364569219,0.0001737804371010328,3.552660713014707
178,3697.8,16.600000000000364,404.9985273576479,0.00015690121511738528,3.5522249868697466
179,3714.5,16.699999999999818,404.99867498079715,0.0001415742964151235,3.551847626261241
180,3731.2,16.699999999999818,404.99880777375347,0.00012774459006223706,3.551522909957157
181,3747.9,16.700000000000273,404.99892724231825,0.00011526584064609714,3.5512434841260094
182,3764.5,16.59999999999991,404.9990340141475,0.00010407011721569727,3.551004358965804
183,3781.2,16.699999999999818,404.999130843672,0.0000939040122259654,3.5507972354353883
184,3797.9,16.700000000000273,404.9992179479691,0.0000847309847250195,3.550618980762186
185,3814.5,16.59999999999991,404.9992957904569,0.00007650109922165225,3.5504664173149454
186,3831.2,16.699999999999818,404.99936638211267,0.000069028077884458,3.550334254851068
187,3847.8,16.600000000000364,404.99942945890706,0.00006232340922811847,3.550221130659762
188,3864.5,16.699999999999818,404.9994866557827,0.000056235337661735045,3.5501231246233393
189,3881.2,16.699999999999818,404.999538104813,0.00005074198027829596,3.550038759769053
190,3897.8,16.600000000000364,404.99958408168675,0.00004581343271969316,3.549966537358718
191,3914.4,16.59999999999991,404.9996254969699,0.000041363592947112766,3.5499043051644743
192,3931.2,16.799999999999727,404.9996632968514,0.00003730001821682903,3.5498500791055485
193,3947.8,16.600000000000364,404.99969680479666,0.000033677082873940474,3.549803947774309
194,3964.5,16.699999999999818,404.99972719468917,0.000030387331988633123,3.5497639684900877
195,3981.2,16.699999999999818,404.9997545333819,0.000027418940911355788,3.5497295420860686
196,3997.8,16.600000000000364,404.9997789656715,0.000024755750520539704,3.5497000601884108
197,4014.5,16.699999999999818,404.9998011224193,0.000022337481322573855,3.549674504931132
198,4031.2,16.699999999999818,404.99982105358265,0.00002015544111346368,3.549652494611206
199,4047.8,16.600000000000364,404.9998388653465,0.000018197751453984354,3.549633641510748
200,4064.5,16.699999999999818,404.99985501793014,0.000016420101377211437,3.549617295759021
201,4081.1,16.59999999999991,404.9998694509552,0.000014825223721455477,3.5496032924736136
202,4097.8,16.700000000000273,404.9998825385417,0.000013377019521433197,3.549591149528718
203,4114.5,16.699999999999818,404.9998943109193,0.000012070283365628518,3.5495806867629276
204,4131.2,16.699999999999818,404.9999049018451,0.000010891195926950345,3.5495716708695615
205,4147.8,16.600000000000364,404.99991436709456,0.000009833338570937859,3.5495639442587756
206,4164.5,16.699999999999818,404.99992295091147,0.000008872767419619352,3.549557241615788
207,4181.2,16.699999999999818,404.9999306725721,0.000008006029805109226,3.5495514641370236
208,4197.8,16.600000000000364,404.9999375731743,0.000007228407441266445,3.5495465113111164
209,4214.5,16.699999999999818,404.999943830996,0.000006522299377563891,3.5495422134631864
210,4231.1,16.600000000000364,404.9999494226356,0.00000588879113650853,3.5495385282306873
211,4247.8,16.699999999999818,404.9999544930297,0.000005313543692208367,3.5495353295810457
212,4264.5,16.699999999999818,404.99995905388744,0.0000047944893806757,3.5495325708236094
213,4281.1,16.600000000000364,404.99996312964856,0.000004328802610031797,3.549530204406589
214,4297.8,16.699999999999818,404.99996682569196,0.000003905942878623991,3.549528149629083
215,4314.5,16.699999999999818,404.99997015042044,0.000003524390263422384,3.549526376704687
216,4331.2,16.699999999999818,404.9999731415415,0.0000031801096725926425,3.5495248467457174
217,4347.8,16.600000000000364,404.99997581477305,0.0000028712269353209634,3.5495235336141078
218,4364.5,16.699999999999818,404.99997823907916,0.0000025907507020395013,3.549522392723059
219,4381.2,16.699999999999818,404.9999804198955,0.0000023376728316209746,3.549521407709705
220,4397.8,16.600000000000364,404.9999823688251,0.0000021106156362985106,3.5495205618752403
221,4414.5,16.699999999999818,404.99998413621665,0.0000019044398317002624,3.5495198266071486
222,4431.2,16.699999999999818,404.9999857260679,0.0000017184043414589588,3.549519191456974
223,4447.8,16.600000000000364,404.9999871468555,0.000001551496438469359,3.5495186457500867
224,4464.5,16.699999999999818,404.999988435293,0.0000013999382764661022,3.549518171103816
225,4481.1,16.600000000000364,404.99998958656573,0.0000012639628506583153,3.5495177631339994
226,4497.8,16.699999999999818,404.9999906305168,0.000001140492450252395,3.5495174081400385
227,4514.5,16.699999999999818,404.9999915695579,0.0000010290832744057708,3.549517101167462
