f,t,dt,uScroll,uScrollDelta,camZ
229,4547.8,16.699999999999818,404.9999931697042,8.383667514995715e-7,3.549516607246261
230,4564.4,16.599999999999454,404.999993849669,7.569365356574807e-7,3.5495164094194718
231,4581.2,16.800000000000182,469.7111946581029,0.6306804837683336,3.4429717250382024
232,4597.8,16.600000000000364,528.757368952035,1.1452390633627787,3.284415764064697
233,4614.5,16.699999999999818,583.1601314792524,1.5637396676865982,3.1140699771373064
234,4631.2,16.699999999999818,632.525889374972,1.892253134277215,2.9572894209326206
235,4647.8,16.600000000000364,720.9041790437403,2.5703214908354113,2.7225106448496805
236,4664.5,16.699999999999818,792.8397859405576,3,2.3662013329125178
237,4681.1,16.600000000000364,853.0559947386213,3,1.9024631142201356
238,4697.8,16.699999999999818,905.6038411137292,3,1.3485506972527193
239,4714.4,16.599999999999454,995.5643676555618,3,0.6155903455053676
240,4731.1,16.700000000000728,1068.2966002648357,3,-0.20638306960018737
241,4747.8,16.699999999999818,1129.3020943338527,3,-1.0364983701539168
242,4764.5,16.699999999999818,1181.9786842665044,3,-1.8205704673256329
243,4781.1,16.600000000000364,1272.0032262514183,3,-2.535343689389173
244,4797.8,16.699999999999818,1344.7676894001315,3,-3.273819792270496
245,4814.4,16.599999999999454,1405.39603222046,3,-4.069888144768108
246,4831.1,16.700000000000728,1458.1513801174383,3,-4.9371599293981205
247,4847.8,16.699999999999818,1548.764026304224,3,-6.030773750543399
248,4864.5,16.699999999999818,1621.429089310481,3,-7.248217410715134
249,4881.1,16.600000000000364,1681.992557250195,3,-8.48576464579761
250,4897.8,16.699999999999818,1734.7011932593464,3,-9.684203399659458
251,4914.5,16.699999999999818,1825.2905158580015,3,-10.809850495761104
252,4931.1,16.600000000000364,1897.4868970733155,3,-11.789199846985653
253,4947.8,16.699999999999818,1958.5261378745613,3,-12.696802475657401
254,4964.4,16.599999999999454,2010.874935738595,3,-13.547702224978577
255,4981.1,16.700000000000728,2057.234462346685,3,-14.36275041858633
256,4997.8,16.699999999999818,2098.380946775869,3,-15.138427752289806
257,5014.4,16.599999999999454,2134.8769345782594,3,-15.86876735134195
258,5031.1,16.700000000000728,2167.8340867310026,3,-16.56060608925952
259,5047.8,16.699999999999818,2197.4109836155117,2.9952902195404514,-17.206713346119336
260,5064.5,16.699999999999818,2223.985491193483,2.9617701704629007,-17.805317089334153
261,5081.1,16.600000000000364,2247.7186086480406,2.9055392252823227,-18.35227091010212
262,5097.7,16.599999999999454,2269.0895797425696,2.831734396360946,-18.851551480342795
263,5114.4,16.699999999999818,2288.461865831951,2.7439767430304567,-19.306751887190376
264,5131.1,16.700000000000728,2305.884130507996,2.645780917407941,-19.71623830407824
265,5147.8,16.699999999999818,2321.5563116382373,2.5401157715761027,-20.08219548267887
266,5164.4,16.599999999999454,2335.5619440959804,2.4299778358748294,-20.405345022913888
267,5181.1,16.700000000000728,2348.26292437501,2.3164271589412326,-20.692512421504393
268,5197.8,16.699999999999818,2359.6880189806157,2.201530065842323,-20.944595742403617
269,5214.5,16.699999999999818,2369.9667503516353,2.0866807978939876,-21.164645528798644
270,5231.1,16.600000000000364,2379.1531040827426,1.9735873689197625,-21.35460823953111
271,5247.8,16.699999999999818,2387.4840558662186,1.8620157812598146,-21.519702442957467
272,5264.4,16.599999999999454,2394.9282734248573,1.753754718828012,-21.660693306274897
273,5281.1,16.700000000000728,2401.678623860715,1.6482482072001179,-21.782625700099306
274,5297.8,16.699999999999818,2407.750651584443,1.546435135349927,-21.88883516371091
275,5314.4,16.599999999999454,2413.1768715428216,1.4491468455265706,-21.982006075277738
276,5331.1,16.700000000000728,2418.09756755025,1.355558667603889,-22.06568608400493
277,5347.8,16.699999999999818,2422.5239212450447,1.2662933132779766,-22.14107882415573
278,5364.4,16.599999999999454,2426.479558764469,1.1818740120795355,-22.209139569215015
279,5381.1,16.700000000000728,2430.066707471345,1.101393645697837,-22.27174709848365
280,5397.8,16.699999999999818,2433.293500000375,1.0252618974775611,-22.32924699448461
281,5414.4,16.599999999999454,2436.177150148256,0.9537998930658208,-22.3819294009683
282,5431.1,16.700000000000728,2438.792176720251,0.8861217459986053,-22.430935088325022
283,5447.7,16.599999999999454,2441.12881034495,0.8228398801410882,-22.476028656883905
284,5464.4,16.699999999999818,2443.2476219778196,0.7631169737036464,-22.518090969477825
285,5481.1,16.700000000000728,2445.1535070155005,0.7071522833431954,-22.557089243788436
286,5497.8,16.699999999999818,2446.868120762329,0.6547898050882263,-22.593247327489625
287,5514.5,16.699999999999818,2448.4107875286254,0.6058660493383909,-22.62676176981557
288,5531.1,16.600000000000364,2449.78955242668,0.5604641996481439,-22.657620829065305
289,5547.7,16.599999999999454,2451.031612137165,0.5181390684303896,-22.686200472491592
290,5564.4,16.699999999999818,2452.157774873776,0.4785035555175582,-22.712807958396183
291,5581.1,16.700000000000728,2453.170709909367,0.441635984844954,-22.737395072288862
292,5597.7,16.599999999999454,2454.075880229776,0.40756725493719165,-22.75995525911249
293,5614.5,16.800000000000182,2454.9021841739227,0.3755809113843826,-22.78102203917265
294,5631.1,16.600000000000364,2455.634740630084,0.346244758819859,-22.80018754610819
295,5647.7,16.599999999999454,2456.2947339707057,0.31905038154864224,-22.817833211662396
296,5664.4,16.699999999999818,2456.8931786579265,0.2937181446308045,-22.834161505123326
297,5681.1,16.700000000000728,2457.431471715062,0.2702740718099802,-22.849157550159585
298,5697.8,16.699999999999818,2457.915736685229,0.2485934160191324,-22.86291638723476
299,5714.4,16.599999999999454,2458.3485276277397,0.22866820311064054,-22.8754526021827
300,5731.1,16.700000000000728,2458.7410142473827,0.21015707414164198,-22.887008327629378
301,5747.8,16.699999999999818,2459.0940788519642,0.19306988168603748,-22.897581864069373
302,5764.4,16.599999999999454,2459.409601071625,0.1773940460462575,-22.907190790478968
303,5781.1,16.700000000000728,2459.6957326899683,0.16285478408091694,-22.916025939076523
304,5797.7,16.599999999999454,2459.9514038116813,0.14953006247252681,-22.92404267665031
305,5814.4,16.699999999999818,2460.183241551606,0.13718338597579638,-22.931402880861828
306,5831.1,16.700000000000728,2460.3917813226158,0.12581566412839812,-22.938111776024645
307,5847.7,16.599999999999454,2460.578140619847,0.11541261033142527,-22.944186546602097
308,5864.4,16.699999999999818,2460.7471377701586,0.1057860682847993,-22.94975271896814
309,5881,16.600000000000364,2460.898142658924,0.09698370584101715,-22.954786688202127
310,5897.7,16.699999999999818,2461.0350702986166,0.08884474788768365,-22.959393849021954
