f,t,dt,uScroll,uScrollDelta,camZ
61,1716.8,16.59999999999991,0,0,34.47436553968507
62,1733.5,16.700000000000045,0,0,34.168317656470656
63,1750.1,16.59999999999991,38.29922699304471,0.37349277892272453,33.85102430029454
64,1766.8,16.700000000000045,74.04545500734014,0.6854986635295004,33.51462632514962
65,1783.5,16.700000000000045,106.7076629706178,0.936960042821587,33.15898296402274
66,1800.2,16.700000000000045,136.34580255287662,1.1343756857168636,32.782994724974344
67,1816.8,16.59999999999991,162.959322806238,1.2837284026911087,32.388993158983155
68,1833.4,16.600000000000136,186.996368437967,1.393448857815665,31.97467151468394
69,1850.1,16.699999999999818,208.82202350247078,1.4701082784836452,31.53750760788873
70,1866.8,16.700000000000045,228.4690093458721,1.5180393290041276,31.080745416795097
71,1883.5,16.700000000000045,246.1515829327327,1.5421371392967262,30.60496110974515
72,1900.1,16.59999999999991,261.95835022112703,1.5464970619506286,30.113985296265973
73,1916.8,16.700000000000045,276.2949746858641,1.535195259645634,29.601846841527955
74,1933.5,16.700000000000045,289.1925470453406,1.5109681322315331,29.072181652939225
75,1950.1,16.59999999999991,300.71914919717983,1.476615460589954,28.528950445122394
76,1966.8,16.700000000000045,311.1722949050853,1.434279952772511,27.965301463022772
77,1983.5,16.700000000000045,320.5754971819756,1.385844079076764,27.38498211332611
78,2000.1,16.59999999999991,328.9788237504914,1.333186576085228,26.792049353845773
79,2016.8,16.700000000000045,336.5993852806935,1.2772470291868196,26.1788177166293
80,2033.5,16.700000000000045,343.45442874390056,1.219308896699276,25.550165786817544
81,2050.1,16.59999999999991,349.5805080123267,1.1606192476954147,24.914761155640278
82,2066.8,16.700000000000273,355.1359246564865,1.1014038336312153,24.268506713015146
83,2083.5,16.699999999999818,360.13326496658357,1.0425321905223435,23.619097833905613
84,2100.1,16.59999999999991,364.5991835282635,0.9848229582680053,22.973706057052546
85,2116.8,16.700000000000273,368.6490856729363,0.9281029447026511,22.32654077842085
