f,t,dt,uScroll,uScrollDelta,camZ
219,4684.8,16.699999999999818,404.9999931696469,8.383707346540417e-7,3.114296196807684
220,4701.4,16.599999999999454,404.99999384964025,7.569401319298045e-7,3.114295228959341
221,4718.1,16.700000000000728,404.9999944662304,6.829983217539667e-7,3.114294388950154
222,4734.8,16.699999999999818,469.27150889829386,0.6265846996182025,3.0185308655235805
223,4751.5,16.699999999999818,528.7842516585681,1.1455674170433336,2.8873398907819485
224,4768.2,16.699999999999818,583.173554485982,1.56390472724721,2.761598271773979
225,4784.8,16.600000000000364,632.2018870181481,1.8901259646903967,2.6107653038874523
226,4801.4,16.599999999999454,720.6161602839419,2.5687518431838527,2.3180791828927947
227,4818.1,16.700000000000728,792.5698842270225,3,1.8753593049839372
228,4834.8,16.699999999999818,853.1866632101658,3,1.3147494113384393
229,4851.5,16.699999999999818,905.6691648499735,3,0.6735286463476836
230,4868.1,16.600000000000364,995.5971998849525,3,-0.12211534905978672
231,4884.7,16.599999999999454,1067.8556798543354,3,-0.9596138490641681
232,4901.4,16.699999999999818,1128.941799066711,3,-1.7624165550103956
233,4918.1,16.700000000000728,1181.6726943628448,3,-2.4736359228574045
234,4934.8,16.699999999999818,1272.273131186717,3,-3.2153400282295066
235,4951.4,16.599999999999454,1344.475038752745,3,-4.061023588934649
236,4968.1,16.700000000000728,1405.5170619648675,3,-5.021156267577305
237,4984.8,16.699999999999818,1500.2673059031133,3,-6.237719846050268
238,5001.4,16.599999999999454,1574.5326312134994,3,-7.558253313543554
239,5018.1,16.700000000000728,1636.6135454151204,3,-8.878555151706522
240,5034.8,16.699999999999818,1689.8271005060892,3,-10.099709521119186
241,5051.5,16.699999999999818,1780.6685329048933,3,-11.204481818375912
242,5068.1,16.600000000000364,1852.9902712321923,3,-12.335964084688104
243,5084.7,16.599999999999454,1913.6990470496835,3,-13.550252653002712
244,5101.4,16.699999999999818,1966.4948914075612,3,-14.841287136029333
245,5118.1,16.700000000000728,2012.8591613936746,3,-16.16380785768117
246,5134.8,16.699999999999818,2054.0080142262887,3,-17.476362440556482
247,5151.4,16.599999999999454,2090.5051796751413,3,-18.73327257607123
248,5168.1,16.700000000000728,2123.462924750137,3,-19.92014374108527
249,5184.8,16.699999999999818,2153.040117685075,2.995293105741101,-21.005893392226092
250,5218.1,33.30000000000018,2208.6442870845444,2.9559479600018204,-22.842366745180968
251,5234.7,16.599999999999454,2227.3744859593776,2.851494229283115,-23.553855500569217
252,5251.5,16.800000000000182,2245.5409526056656,2.7484140072323,-24.15240064395135
253,5268.1,16.600000000000364,2262.167993838912,2.643608040632325,-24.634467701883985
254,5284.7,16.599999999999454,2277.409294855144,2.5354681420373786,-25.019456355394492
255,5301.4,16.699999999999818,2291.3614460087265,2.4238103148023202,-25.32096290554043
256,5318.1,16.700000000000728,2303.9772721781405,2.310031944230922,-25.548606256766007
257,5334.8,16.699999999999818,2315.3598487123763,2.195345059240686,-25.71379965290446
258,5351.5,16.699999999999818,2325.617350498574,2.080893007006547,-25.826950067714378
259,5368,16.5,2334.7314997951376,1.9688412819775536,-25.89689731061206
260,5384.8,16.800000000000182,2343.1225893185633,1.8572017173493003,-25.933023953722582
261,5401.4,16.599999999999454,2350.5622674400115,1.7493639745146827,-25.94132211824275
262,5418.1,16.700000000000728,2357.3103323569007,1.6442640918396088,-25.92789361528141
263,5434.7,16.599999999999454,2363.3407092061534,1.543365433697879,-25.898011756874034
264,5451.5,16.800000000000182,2368.845783717231,1.445397474149541,-25.855000914216106
265,5468.1,16.600000000000364,2373.726342625418,1.3526016622852481,-25.803577836125438
266,5484.7,16.599999999999454,2378.1234881396545,1.2641048380215396,-25.745957417465153
267,5501.4,16.699999999999818,2382.1105858338797,1.1794908505448478,-25.68396249728098
268,5518,16.600000000000364,2385.673005631151,1.0996679905951454,-25.62024620272742
269,5534.8,16.800000000000182,2388.9247826186634,1.0233282404077917,-25.5549750959098
270,5551.4,16.599999999999454,2391.807508680644,0.9520450396527657,-25.490984148756173
271,5568.1,16.700000000000728,2394.422069993232,0.8845337798822354,-25.427868851581245
272,5584.7,16.599999999999454,2396.7584722759702,0.8214038964777952,-25.36708558877986
273,5601.5,16.800000000000182,2398.8913069186883,0.7614956253885189,-25.30794018925774
274,5618.1,16.600000000000364,2400.782163044579,0.705971435844635,-25.252265020059117
275,5634.8,16.699999999999818,2402.497163962923,0.6537280833961169,-25.19916367270935
276,5651.5,16.699999999999818,2404.040024046796,0.6049099267451525,-25.14911554940307
277,5668.1,16.600000000000364,2405.418885068576,0.5596018822423034,-25.1024510061845
278,5684.7,16.599999999999454,2406.6609929743645,0.517360977556526,-25.05882681589188
