f,t,dt,uScroll,uScrollDelta,camZ
174,4822.8,16.699999999999818,404.9999931695333,8.383632297874904e-7,3.119609584484716
175,4839.5,16.699999999999818,404.99999385415106,7.564675921003945e-7,3.118871071776349
176,4856.1,16.600000000000364,404.9999944659295,6.829922077389518e-7,3.118238601776454
177,4872.9,16.799999999999272,469.7111952398869,0.6306804167523156,3.020886575167933
178,4889.5,16.600000000000364,528.7573695168202,1.1452390026902273,2.8901198818876352
179,4906.2,16.699999999999818,583.1601320354791,1.563739612857418,2.764008138195148
180,4922.8,16.600000000000364,632.19515715961,1.8900421537256893,2.61285929402696
181,4939.5,16.699999999999818,721.1548595629762,2.5726827490492505,2.3169916763076364
182,4956.1,16.600000000000364,792.5409411342712,3,1.8769637235879288
183,4972.9,16.799999999999272,853.5638620646413,3,1.3118825860300491
184,4989.5,16.600000000000364,905.6401699872321,3,0.674701232955361
185,5006.2,16.699999999999818,996.1310995521733,3,-0.12685399060932712
186,5022.8,16.600000000000364,1068.2785565823162,3,-0.9644087387989677
187,5039.5,16.699999999999818,1129.2931650010592,3,-1.766817387794275
188,5056.2,16.699999999999818,1181.9743057953651,3,-2.4775475337887203
189,5072.9,16.699999999999818,1272.549899831624,3,-3.2193644879136887
190,5089.5,16.600000000000364,1344.7394547635777,3,-4.065393726132789
191,5106.1,16.600000000000364,1405.3819553840376,3,-5.01904771894859
192,5122.9,16.799999999999272,1458.489496929415,3,-6.065923641904935
193,5139.4,16.5,1547.9613410757047,3,-7.306638714120915
194,5156.2,16.800000000000182,1621.301104531792,3,-8.6312668842055
195,5172.8,16.600000000000364,1681.9144766159056,3,-9.872600734013483
196,5189.5,16.699999999999818,1734.6622870362803,3,-10.96941156552417
197,5206.1,16.600000000000364,1824.7222421413894,3,-12.041510109255498
198,5222.8,16.699999999999818,1897.5045351122906,3,-13.233790216473771
199,5239.4,16.599999999999454,1958.1417434944312,3,-14.524791015094655
200,5256.2,16.800000000000182,2011.246609472113,3,-15.895634525768706
201,5272.9,16.699999999999818,2057.533652512127,3,-17.265164886708828
202,5289.5,16.600000000000364,2098.3600315805884,3,-18.5841206239595
203,5306.1,16.600000000000364,2134.8665276234524,3,-19.821357730586204
204,5322.8,16.699999999999818,2167.828970472355,3,-20.95348734528677
