f,t,dt,uScroll,uScrollDelta,camZ
177,5061.9,16.599999999999454,404.99999316921514,8.384367047887579e-7,3.5529728624393857
178,5078.6,16.700000000000728,404.9999938539922,7.565338896851527e-7,3.5524882484984945
179,5095.3,16.699999999999818,404.9999944699598,6.826317633438418e-7,3.5520715549862216
180,5111.9,16.599999999999454,468.83203976464455,0.6224885841860329,3.447585074564624
181,5128.6,16.700000000000728,528.4090866093455,1.1424983328695095,3.287821417717377
182,5145.2,16.599999999999454,582.4802213344609,1.5588278372063575,3.1181653212465124
183,5161.9,16.699999999999818,631.9341415757852,1.8886806128945133,2.9612448118788492
184,5178.6,16.700000000000728,720.8983607245742,2.57149824436578,2.727187074371204
185,5195.2,16.599999999999454,792.2866881671504,3,2.379369166946433
186,5211.9,16.699999999999818,852.9190894974179,3,1.9205025413973877
187,5228.6,16.700000000000728,905.4093914897074,3,1.37598612905466
188,5245.3,16.699999999999818,995.8896983126873,3,0.6482364366060321
189,5261.9,16.599999999999454,1068.0318733734111,3,-0.15932231558919618
190,5278.6,16.700000000000728,1129.043822422553,3,-0.9841461480347626
191,5295.3,16.699999999999818,1223.7790501106872,3,-1.795625916646975
192,5312,16.699999999999818,1298.502548291666,3,-2.537645242832921
193,5328.6,16.600000000000364,1360.0895364934229,3,-3.288033221758741
194,5345.2,16.599999999999454,1412.9666482881905,3,-4.080085622118051
195,5361.9,16.699999999999818,1503.8607671391785,3,-5.086780753348839
196,5378.6,16.700000000000728,1576.6663715107293,3,-6.237240939761447
197,5395.2,16.599999999999454,1637.299721143482,3,-7.445611476124629
198,5411.9,16.699999999999818,1690.0435412356587,3,-8.659625402469409
199,5428.5,16.600000000000364,1780.101512221077,3,-9.893632949108339
200,5445.3,16.800000000000182,1853.3404102548254,3,-10.995380773044456
201,5461.9,16.599999999999454,1913.8885928836844,3,-11.956970647271262
202,5478.5,16.600000000000364,1966.2448598034653,3,-12.840828620589452
203,5495.3,16.800000000000182,2012.9140342455084,3,-13.68046655390084
204,5511.9,16.599999999999454,2053.7388642161027,3,-14.464767788886437
205,5528.5,16.600000000000364,2090.244583559549,3,-15.207875003379936
