f,t,dt,uScroll,uScrollDelta,camZ
194,5136.6,16.700000000000728,404.999993175409,8.383028330360403e-7,3.114569517549997
195,5153.3,16.699999999999818,404.99999385786816,7.564130952146572e-7,3.1145306052410473
196,5170,16.699999999999818,469.1249941990977,0.6264067089370479,3.018905784719019
197,5186.6,16.600000000000364,528.5249943697124,1.1425138293634542,2.8885070054020625
198,5203.3,16.699999999999818,582.8287444550199,1.5613741909643073,2.7627643687645387
199,5220,16.699999999999818,632.1239944976736,1.8903925077045591,2.61102812786612
200,5236.6,16.600000000000364,720.8966195190005,2.5690243006391946,2.3176546342606805
201,5253.3,16.699999999999818,792.6204320296639,3,1.8748489732294424
202,5270,16.699999999999818,853.0860882849956,3,1.3146092225514312
203,5286.6,16.600000000000364,947.4439164126615,3,0.5579525601160621
204,5303.3,16.699999999999818,1021.9603304764944,3,-0.28757635065571674
205,5320,16.699999999999818,1083.8222875084107,3,-1.1320414477193452
206,5336.6,16.600000000000364,1136.8966410243688,3,-1.9123874445501226
207,5353.3,16.699999999999818,1227.558817782348,3,-2.645259094936548
208,5369.9,16.599999999999454,1300.2274061613375,3,-3.431284787317265
209,5386.6,16.700000000000728,1361.1654503508323,3,-4.310460480420406
210,5403.2,16.599999999999454,1413.7778474455797,3,-5.263001059889449
211,5420,16.800000000000182,1504.2090459929534,3,-6.467022586775791
212,5436.6,16.600000000000364,1576.7621452666403,3,-7.761161469629153
213,5453.3,16.699999999999818,1637.6424449034837,3,-9.053129355538273
214,5469.9,16.599999999999454,1690.2259697219054,3,-10.241401021722531
215,5486.7,16.800000000000182,1780.6427321311162,3,-11.33027912908424
216,5503.3,16.600000000000364,1853.1886133357216,3,-12.443242150518788
217,5520,16.699999999999818,1914.0653039380243,3,-13.64945279252864
218,5536.7,16.699999999999818,1966.6470242391756,3,-14.925980876785047
219,5553.3,16.600000000000364,2012.8669218897512,3,-16.228298434440823
220,5569.9,16.599999999999454,2053.913004465039,3,-17.5233355568216
221,5586.6,16.700000000000728,2090.578566127683,3,-18.780259137221886
222,5603.3,16.699999999999818,2123.439615296505,3,-19.959826453491353
223,5620,16.699999999999818,2152.945581384666,2.9951740223316605,-21.039248615172447
224,5653.2,33.19999999999982,2179.4664617821218,2.931763150013607,-22.81042680656732
225,5669.9,16.699999999999818,2203.318009598887,2.8783676296716467,-23.527326449061732
226,5686.6,16.700000000000728,2224.775780363503,2.806804411740574,-24.138006858448037
227,5703.3,16.699999999999818,2244.083462916422,2.7212286885692416,-24.644622280931717
228,5720,16.699999999999818,2261.4582216464305,2.6251306474160407,-25.05455769348267
229,5736.6,16.600000000000364,2277.094426719629,2.522026606527026,-25.375797698267146
230,5753.3,16.699999999999818,2291.1664723936037,2.413125048636314,-25.622868177348348
231,5769.9,16.599999999999454,2303.831044054228,2.301749671439919,-25.80339110158936
232,5786.6,16.700000000000728,2315.2290238258142,2.188244246125768,-25.92970592955232
233,5803.3,16.699999999999818,2325.4871382587535,2.074691823650797,-26.009980663984656
234,5819.9,16.599999999999454,2334.7194075676553,1.9628505148389017,-26.052341255624636
235,5836.6,16.700000000000728,2343.0284331052944,1.8522760086975165,-26.064624879352518
236,5853.3,16.699999999999818,2350.5065476689833,1.7443862234564924,-26.05288519805717
237,5869.9,16.599999999999454,2357.2368465662107,1.6403258258516438,-26.022681926063584
238,5886.6,16.700000000000728,2363.294113468669,1.539260854308893,-25.97819404246028
239,5903.3,16.699999999999818,2368.7456526283577,1.4421513691217183,-25.923397047254657
240,5919.9,16.599999999999454,2373.652037345816,1.349731314925556,-25.8617436216809
241,5936.6,16.700000000000728,2378.067783328398,1.2610178900176565,-25.795033519016336
242,5953.3,16.699999999999818,2382.0419545811565,1.1766569199480101,-25.72570980416485
243,5970,16.699999999999818,2385.6187086428563,1.096654588092645,-25.65539413176175
244,5986.6,16.600000000000364,2388.8377872654946,1.021403759032033,-25.585742325256998
245,6003.3,16.699999999999818,2391.7349580094233,0.9499288356377081,-25.516901478952416
246,6019.9,16.599999999999454,2394.3424116707365,0.8829887302765109,-25.450428724945183
247,6036.6,16.700000000000728,2396.689119961807,0.8196576989839139,-25.3860667259059
248,6053.3,16.699999999999818,2398.801157421715,0.7602207834404702,-25.324622344821016
249,6069.9,16.599999999999454,2400.7019911346038,0.7048435723951705,-25.266658425229323
250,6086.6,16.700000000000728,2402.41274147569,0.6527023127750783,-25.21162215814281
251,6103.3,16.699999999999818,2403.9524167824106,0.6039833308757722,-25.159947587581286
252,6119.9,16.599999999999454,2405.3381245583305,0.5587780020602784,-25.11189196295474
253,6136.6,16.700000000000728,2406.5852615565946,0.5163763656745083,-25.066824971053627
254,6153.3,16.699999999999818,2407.707684855,0.47689847184551565,-25.024965942273194
255,6170,16.699999999999818,2408.717865823549,0.44018054110835153,-24.986193518769053
256,6186.6,16.600000000000364,2409.627028695235,0.4062566485716177,-24.950565226286237
257,6203.3,16.699999999999818,2410.445275279748,0.3745644610173874,-24.917504763678647
258,6219.9,16.599999999999454,2411.1816972058077,0.34533600554178545,-24.887253442658004
259,6236.6,16.700000000000728,2411.844476939261,0.3180761798642801,-24.85928879853854
260,6253.2,16.599999999999454,2412.4409786993683,0.2929753689896078,-24.833787776801127
261,6269.9,16.699999999999818,2412.9778302834643,0.2696002689238562,-24.810287203890173
