f,t,dt,uScroll,uScrollDelta,camZ
385,8336.5,16.700000000000728,2417.8094843034405,0.0000013555538088658,-24.576886005352726
386,8353.2,16.700000000000728,2417.809485327129,0.0000012231363319872137,-24.57688594836208
387,8369.8,16.599999999998545,2449.871985838973,0.31142284576675594,-24.472912898081788
388,8386.5,16.700000000000728,2479.5719860948957,0.5711263558281032,-24.29407347678789
389,8403.2,16.700000000000728,2506.7238612228566,0.7805692911230413,-24.069885488560562
390,8419.8,16.599999999998545,2531.3714862868374,0.9441542815753898,-23.82655065164993
391,8436.5,16.700000000000728,2553.6598175688277,1.0696483271504094,-23.581075212841164
392,8453.1,16.600000000000364,2592.558536836233,1.3435754789927516,-23.340302779896295
393,8469.9,16.799999999999272,2614.5115920485355,1.4272497546071783,-23.132919829397988
394,8486.5,16.600000000000364,2624.4797358622445,1.3854417448238605,-22.959543196215343
395,8503.1,16.600000000000364,2627.211441570838,1.2774073057089192,-22.812699293905386
396,8519.8,16.69999999999891,2626.0948645046137,1.1417162818998956,-22.687639298226593
397,8536.5,16.700000000000728,2647.8978143532786,1.243169998076415,-22.58182381603078
398,8553.1,16.600000000000364,2657.0961989653974,1.2117649396239645,-22.49278428144827
399,8569.8,16.69999999999891,2657.40571448418,1.09641700695831,-22.416953527600374
400,8586.5,16.700000000000728,2652.7486975093393,0.9438212073122749,-22.352791780751314
401,8603.1,16.600000000000364,2645.9414204433406,0.7860294431836434,-22.298802213639867
402,8619.9,16.799999999999272,2663.341876138834,0.8797523416837648,-22.252569014985415
403,8636.5,16.600000000000364,2669.124441234804,0.8504681762055882,-22.213917060691617
404,8653.2,16.700000000000728,2666.7786804926545,0.7444754660655706,-22.18099902214238
405,8669.8,16.599999999998545,2660.0550795151175,0.6068588137255537,-22.15329979731279
406,8686.5,16.700000000000728,2651.638132667432,0.4653566482344376,-22.12970967962317
407,8703.1,16.600000000000364,2667.784178803417,0.5769826278051862,-22.109859530512253
408,8719.8,16.69999999999891,2672.5888708780753,0.5675546998817999,-22.09295409880563
409,8736.5,16.700000000000728,2669.4806523968537,0.4817503552108021,-22.078650112962237
410,8753.2,16.700000000000728,2662.162475991617,0.36320278375717185,-22.066547256640153
411,8769.8,16.599999999998545,2653.2818311147134,0.24166771117961344,-22.056363182706217
412,8786.5,16.700000000000728,2669.0662281901023,0.37225048389001963,-22.04768988935092
413,8803.1,16.600000000000364,2673.588851698593,0.3800220034365065,-22.0403916567329
414,8819.8,16.69999999999891,2670.2606285863094,0.3103876997756748,-22.03417609772558
415,8836.4,16.600000000000364,2662.7708529941183,0.20749199030095974,-22.028945951156313
416,8853.1,16.700000000000728,2653.756362964027,0.09916492325209254,-22.024491683072565
417,8869.8,16.69999999999891,2669.4363619262485,0.2426482876155046,-22.020722847782327
418,8886.5,16.700000000000728,2673.8775554596277,0.26232901885060317,-22.017533969345315
419,8903.2,16.700000000000728,2670.485817243337,0.20357112377429554,-22.014835802696222
420,8919.8,16.599999999998545,2662.94650000831,0.11056926822156286,-22.012565402394905
421,8936.4,16.600000000000364,2653.893367565952,0.011897019934463418,-22.01064245329888
422,8953.2,16.80000000000109,2669.5432254811776,0.16447303754934217,-22.00899576316381
423,8969.8,16.599999999998545,2673.960909015186,0.19140661689441735,-22.007619094586055
424,8986.5,16.700000000000728,2670.5508330080293,0.13939765429247608,-22.006446651170446
425,9003.1,16.600000000000364,2662.9972123004486,0.05249001225233671,-22.005460086502556
426,9019.8,16.69999999999891,2653.9329231516595,-0.04118212678880856,-22.004619876107967
427,9036.5,16.700000000000728,2617.3382785772646,-0.39463457827062653,-22.00390895917912
428,9053.2,16.700000000000728,2585.372206290067,-0.668345696360229,-22.007388935112434
429,9069.8,16.599999999998545,2557.0872951464685,-0.8781597274192762,-22.036909076793698
430,9086.5,16.700000000000728,2531.873152074669,-1.038681297199786,-22.10407734721602
431,9103.1,16.600000000000364,2509.3015617887695,-1.15703153531266,-22.210005045975286
432,9119.8,16.69999999999891,2465.9532666458194,-1.4674552069179592,-22.419686942689186
433,9136.5,16.700000000000728,2430.610369074345,-1.6693542495652411,-22.709385621622058
434,9153.1,16.600000000000364,2400.637045288607,-1.7983402160116944,-23.051859045969003
435,9169.8,16.69999999999891,2374.5786958957383,-1.8772204590160855,-23.42877269793396
436,9186.5,16.700000000000728,2351.585002449304,-1.9184581361457405,-23.819400441208998
437,9203.1,16.600000000000364,2308.0256557260864,-2.155209224014895,-24.266154392875436
438,9219.8,16.69999999999891,2272.577232364478,-2.290955742739408,-24.71801624723461
439,9236.5,16.700000000000728,2242.5511456836734,-2.3604736653556793,-25.136607002065787
440,9253.1,16.600000000000364,2216.466414843271,-2.3845617463251036,-25.498191361355975
441,9269.8,16.69999999999891,2193.4595306730703,-2.37636856758787,-25.79361418812185
442,9286.5,16.700000000000728,2149.89358858797,-2.569807205955604,-25.96804109615517
443,9303.1,16.600000000000364,2114.44186754542,-2.6645439951367846,-26.011945647586657
444,9319.8,16.69999999999891,2084.4141320241442,-2.6975840000776046,-25.93833076389805
445,9336.4,16.600000000000364,2058.328576763507,-2.688936701216964,-25.76693542844417
446,9353.2,16.80000000000109,2035.3212803831882,-2.6507990951803304,-25.514530998402062
447,9369.8,16.599999999998545,1991.7551321930287,-2.816484270946548,-25.09284974884632
448,9386.4,16.600000000000364,1956.303308097949,-2.8872624197706176,-24.559919409211272
449,9403.1,16.700000000000728,1926.2755210504092,-2.898546645373349,-23.95932994318917
450,9419.7,16.600000000000364,1900.1899400266393,-2.870380178125345,-23.333189854612694
451,9436.4,16.69999999999891,1877.1826307647543,-2.814733905617462,-22.70000311520859
