f,t,dt,uScroll,uScrollDelta,camZ
423,7765.2,16.699999999999818,2462.012148624362,0.0000012249953421052216,-23.198907824361825
424,7781.9,16.699999999999818,2462.0121495480626,0.0000011053314886095729,-23.198907867043545
425,7798.5,16.600000000000364,2493.9281725015608,0.3112449848857257,-23.283347098164892
426,7815.2,16.699999999999818,2523.716696078052,0.5712497930546256,-23.44879293583467
427,7831.9,16.699999999999818,2550.9352028295784,0.7808008550113955,-23.680994747584922
428,7848.6,16.700000000000728,2575.633652539113,0.9453138112834545,-23.962386251354616
429,7865.2,16.599999999999454,2597.811586112246,1.0697743371799477,-24.272658036563072
430,7881.8,16.600000000000364,2640.8473631985103,1.3855510550418766,-24.65979655357076
431,7931.9,48,2740.0998347925893,1.9126880341290315,-25.713504883159118
432,7948.6,16.700000000000728,2758.0403804313482,1.9007495004493635,-25.950595831629848
433,7965.2,16.599999999999454,2798.877020003452,2.1143680289921716,-26.04819208014075
434,7981.8,16.600000000000364,2832.936841315302,2.241150573500236,-26.012980871409948
435,7998.5,16.699999999999818,2862.437988580377,2.309830628619086,-25.866912846114076
436,8015.1,16.600000000000364,2888.1129252673727,2.3358588576286987,-25.64043837278136
437,8031.9,16.799999999999272,2911.199500847536,2.3313865650627,-25.35478350918676
438,8048.5,16.600000000000364,2931.4952459390274,2.302863378600559,-25.04146897016134
439,8065.2,16.699999999999818,2973.849518741993,2.490820347785759,-24.646843704547074
440,8081.8,16.600000000000364,3007.082724748668,2.5729771094910965,-24.255249817513636
441,8098.5,16.699999999999818,3028.0152177966424,2.525706684568345,-23.90836424132127
442,8115.2,16.699999999999818,3039.0582867987205,2.386641715576282,-23.614700858612586
443,8131.8,16.600000000000364,3043.6934719300757,2.2000303629676226,-23.367594760547256
444,8148.5,16.699999999999818,3069.1082526879104,2.232889195685723,-23.1571462021112
445,8165.2,16.699999999999818,3080.6108452436647,2.1269080498705337,-22.979081941294194
446,8181.8,16.600000000000364,3082.4751101002767,1.9385025990754887,-22.82924792286968
447,8198.5,16.699999999999818,3078.9102006985536,1.7143853201324986,-22.70164138693634
448,8215.2,16.700000000000728,3072.8905984697967,1.4882301291876097,-22.593671231829322
449,8231.8,16.599999999998545,3090.837066437051,1.5186923067962268,-22.50281862538616
450,8248.5,16.700000000000728,3097.118018353926,1.431571727983629,-22.425443764118793
451,8265.2,16.700000000000728,3095.1245250780744,1.2722938295608002,-22.359975520573762
452,8281.8,16.599999999998545,3088.71323678614,1.0861937873930592,-22.304886588271813
453,8298.5,16.700000000000728,3080.4860570073142,0.8998818694807118,-22.257969954164047
454,8315.2,16.700000000000728,3096.818942778473,0.9712063544187377,-22.218272957261313
455,8331.9,16.69999999999891,3101.728485169715,0.9241971281713586,-22.184684623548456
456,8348.5,16.600000000000364,3098.724827108511,0.8051386705261118,-22.156421371903853
457,8365.1,16.600000000000364,3091.5180778306126,0.6566559068561071,-22.13248339313892
458,8381.9,16.799999999999272,3082.604128249514,0.5052698227702075,-22.11198444515994
459,8398.4,16.5,3098.3224869424625,0.6098053447760252,-22.09494183049189
